"word","N"
"46",1264
"self",1263
"22yom",1258
"48",1256
"due",1255
"kicked",1253
"wood",1247
"avulsion",1246
"49",1232
"conts",1224
"who",1220
"34yom",1218
"52",1208
"lifted",1207
"bit",1196
"table",1193
"chair",1192
"51",1192
"cervical",1191
"lift",1182
"36yom",1182
"35yom",1181
"38yom",1180
"hands",1176
"mvc",1171
"sciatica",1169
"co",1165
"equipment",1164
"began",1160
"concrete",1156
"21yom",1156
"yf",1155
"53",1155
"5",1153
"pushing",1153
"5th",1150
"37yom",1134
"42yom",1117
"ground",1115
"4th",1112
"headache",1109
"bitten",1109
"ym",1105
"causing",1096
"steel",1092
"40yom",1082
"54",1080
"bed",1080
"39yom",1078
"41yom",1078
"bus",1073
"43yom",1062
"20yom",1059
"pulled",1057
"55",1051
"forehead",1049
"45yom",1045
"19",1036
"foreign",1033
"forklift",1032
"meat",1031
"cutter",1028
"broke",1028
"wks",1027
"during",1026
"dev",1025
"cellulitis",1024
"school",1018
"injuring",1013
"48yom",1007
"44yom",1006
"pallet",1005
"sus",1004
"slicer",1002
"abd",987
"sharp",982
"exposed",978
"trauma",973
"thoracic",973
"46yom",973
"groin",969
"twisting",967
"rolled",962
"driving",958
"week",956
"burns",955
"47yom",954
"ft",953
"56",952
"50yom",942
"52yom",940
"large",940
"through",935
"food",933
"bag",933
"trash",929
"hospital",929
"49yom",928
"57",923
"helping",917
"roof",915
"51yom",914
"client",905
"contact",905
"amputation",904
"which",897
"19yom",894
"ed",892
"degree",887
"lacerated",873
"steps",864
"18",863
"shelf",863
"53yom",858
"hematoma",856
"58",855
"under",853
"fractured",845
"came",842
"weeks",839
"another",838
"been",837
"new",835
"not",829
"farm",827
"objects",827
"top",826
"ring",818
"25yof",816
"54yom",815
"assault",814
"tree",813
"alot",811
"grinder",805
"striking",805
"long",801
"blade",796
"used",792
"lip",792
"then",789
"55yom",788
"altercation",788
"spasm",787
"house",785
"tip",782
"restrained",782
"where",780
"or",779
"human",771
"ran",766
"mva",766
"lifts",766
"24yof",765
"gun",764
"outside",763
"60",762
"suspect",760
"59",760
"hammer",757
"slip",756
"exhaustion",755
"having",751
"10",749
"28yof",744
"dermatitis",744
"area",743
"dirty",742
"bent",741
"23yof",738
"can",733
"arms",733
"one",732
"digit",725
"27yof",720
"nose",720
"needlestick",718
"night",716
"tractor",715
"26yof",714
"56yom",704
"garbage",702
"someone",694
"hx",693
"22yof",687
"step",687
"contusions",685
"onset",685
"trailer",683
"around",681
"welding",681
"abrasions",681
"repetitive",680
"scratched",678
"knees",675
"thru",674
"29yof",672
"21yof",665
"drill",663
"calf",661
"gloves",660
"backwards",660
"57yom",656
"time",653
"ct",652
"presents",649
"dislocation",648
"taking",640
"abdominal",640
"resident",639
"pushed",636
"painful",636
"bar",635
"ear",634
"broken",631
"hrs",627
"skin",625
"31yof",625
"30yof",625
"crushed",623
"flew",622
"grinding",621
"tendonitis",620
"h",617
"58yom",617
"student",616
"pole",614
"both",614
"expo",614
"18yom",613
"1st",613
"picking",612
"sudden",607
"worse",607
"ribs",606
"putting",606
"20yof",604
"6",602
"33yof",602
"loading",601
"34yof",600
"pn",598
"fight",595
"wire",594
"tire",592
"worsening",592
"ytd",588
"redness",584
"shot",582
"nausea",581
"32yof",578
"am",578
"inhalation",576
"36yof",575
"49yof",573
"pull",572
"jack",572
"mid",571
"window",571
"35yof",570
"firefighter",569
"going",567
"burned",566
"61",566
"bibems",563
"38yof",563
"tried",562
"sheet",555
"morning",554
"jumped",554
"air",553
"oil",550
"power",549
"also",548
"stepping",548
"stretcher",548
"multiple",548
"buttocks",544
"attempting",543
"37yof",542
"insect",540
"44yof",540
"spilled",536
"razor",535
"person",534
"59yom",530
"lost",530
"abdomen",530
"19yof",529
"smashed",529
"atwork",529
"distal",527
"duty",527
"occ",527
"get",524
"bilat",524
"became",522
"prior",522
"48yof",520
"hole",520
"line",519
"container",519
"39yof",518
"52yof",516
"fence",515
"45yof",513
"washing",513
"42yof",512
"wooden",511
"heard",510
"grabbed",508
"thinks",508
"legs",508
"pick",507
"furniture",507
"mouth",506
"sob",506
"50yof",506
"chronic",505
"running",502
"slammed",501
"43yof",501
"47yof",500
"great",500
"tunnel",499
"burning",498
"complaining",498
"40yof",497
"53yof",496
"opening",493
"scaffolding",493
"sustaining",493
"msk",493
"sitting",492
"sided",491
"horse",490
"54yof",489
"51yof",486
"vehicle",486
"smoke",483
"cabinet",482
"bucket",480
"62",480
"spine",480
"removal",477
"few",477
"8",477
"electric",476
"plastic",474
"small",474
"46yof",474
"motion",472
"holding",471
"syndrome",469
"edge",469
"lb",468
"unloading",466
"store",464
"allergic",464
"parking",464
"dizziness",462
"41yof",462
"carpal",460
"gate",460
"wheelchair",459
"rear",457
"post",457
"vs",457
"but",456
"severe",456
"str",455
"delivering",454
"dehydration",453
"have",451
"lumbosacral",450
"belt",450
"hose",450
"sensation",449
"semi",448
"turned",448
"did",448
"px",448
"numbness",447
"chain",447
"child",446
"beam",445
"part",444
"cat",444
"other",444
"white",443
"55yof",441
"electrical",441
"about",440
"conjunctivitis",438
"60yom",438
"palm",436
"grease",435
"restraining",435
"cement",432
"fing",431
"involved",431
"perp",430
"hard",430
"spit",429
"crushing",429
"abras",428
"ab",428
"desk",426
"hours",426
"put",425
"denies",422
"himself",422
"changing",422
"61yom",421
"bags",419
"high",418
"kitchen",417
"shock",417
"machinery",415
"two",414
"cow",413
"pts",412
"18yof",411
"several",411
"fd",410
"restaurant",409
"57yof",409
"training",408
"chasing",408
"front",406
"walked",406
"iv",405
"items",405
"trunk",405
"dust",405
"dizzy",404
"fighting",404
"inmate",403
"radiculopathy",401
"chemicals",401
"warehouse",399
"reaction",399
"restrain",398
"assisting",396
"glasses",395
"dishes",395
"light",395
"glove",395
"nurse",395
"ceiling",394
"nursing",394
"security",391
"reaching",391
"nasal",391
"slipping",390
"tool",387
"gas",387
"56yof",387
"tray",385
"room",385
"bee",385
"irritation",384
"clients",382
"just",381
"yest",378
"poked",378
"noticed",377
"mail",377
"fumes",374
"patients",374
"climbing",373
"tile",372
"flank",371
"12",369
"board",369
"58yof",368
"making",368
"forward",367
"wheel",365
"bottle",364
"63",363
"info",362
"partial",360
"bleeding",360
"trip",359
"past",359
"tdy",358
"radius",357
"shin",357
"59yof",356
"hisp",356
"rack",355
"ems",353
"unknown",353
"noted",353
"contaminated",352
"arrest",351
"break",350
"bilateral",350
"tendon",349
"ambulance",349
"pinned",347
"stood",347
"care",344
"pinky",344
"i",344
"catch",344
"increased",344
"coworker",343
"rock",343
"admits",343
"hernia",343
"industrial",340
"move",340
"syncope",340
"otj",340
"spr",340
"bumped",339
"passenger",338
"eval",337
"62yom",333
"jammed",333
"fxs",332
"15",330
"mechanic",328
"knocked",327
"tank",327
"stands",327
"red",326
"cleaner",325
"guard",324
"van",324
"17",324
"thrown",324
"cord",324
"shop",323
"building",322
"old",321
"balance",321
"passed",320
"throwing",319
"things",318
"pressure",318
"paper",316
"gave",316
"turning",316
"wrench",316
"computer",316
"contu",314
"shoe",312
"tonight",312
"breaking",311
"64",311
"65",311
"safety",310
"fa",310
"installing",310
"7",310
"poss",309
"swollen",308
"slicing",307
"freq",307
"stop",307
"arresting",306
"bld",306
"unk",306
"giving",305
"possible",305
"hiv",305
"63yom",304
"factory",303
"cm",303
"may",302
"combative",301
"removing",301
"60yof",300
"carpet",300
"j",299
"sprayed",299
"approx",297
"riding",297
"ended",296
"utility",296
"radiating",296
"chin",295
"rolling",293
"fluids",293
"earlier",292
"bursitis",292
"cooking",291
"dislocated",290
"pallets",290
"x2",290
"office",290
"presented",290
"asthma",290
"times",289
"picked",288
"abr",288
"17yom",288
"plate",288
"tingling",285
"clean",285
"agitated",285
"way",284
"inhaled",283
"end",283
"grill",281
"bone",281
"hurting",280
"missed",278
"seen",278
"customer",277
"punctured",277
"28ym",276
"blunt",275
"workdx",275
"wrong",274
"61yof",274
"them",274
"go",272
"blow",270
"hair",270
"coming",269
"musculoskeletal",269
"boots",268
"away",268
"27ym",267
"buttock",267
"splinter",265
"phalanx",265
"elevator",265
"delivery",265
"pc",264
"run",264
"abrs",263
"tear",262
"eyebrow",262
"should",261
"n",261
"multi",260
"ha",259
"operating",259
"dock",259
"trays",259
"chicken",257
"threw",257
"30ym",257
"recently",256
"scene",256
"counter",256
"fingertip",256
"bleach",254
"minor",254
"jaw",254
"sting",254
"caused",253
"starting",252
"dumpster",252
"infected",252
"dental",252
"29ym",252
"vomiting",252
"coffee",251
"ramp",250
"psych",250
"corner",250
"exp",250
"syringe",250
"throat",249
"there",249
"mild",248
"dept",248
"blew",247
"25ym",247
"26ym",247
"shoes",247
"32ym",245
"64yom",244
"heel",243
"health",243
"chem",242
"per",242
"insulin",242
"related",242
"conveyor",241
"months",241
"16",240
"accidental",240
"moved",240
"bk",240
"accidently",239
"branch",238
"debris",238
"attacked",238
"rts",237
"cramps",237
"slid",237
"stocking",237
"near",236
"accident",236
"direct",236
"drawing",235
"block",235
"stand",235
"closing",235
"handling",234
"31ym",234
"suddenly",234
"65yom",233
"like",233
"uses",232
"place",231
"painting",231
"mechanical",230
"superficial",230
"weight",229
"bites",229
"stool",229
"carbon",229
"lab",229
"yet",227
"inguinal",227
"handle",227
"stung",227
"frame",226
"refrigerator",226
"snow",225
"mopping",225
"oven",225
"were",225
"removed",224
"above",224
"bathroom",224
"animal",223
"hr",223
"press",223
"feeling",223
"66",222
"year",221
"popped",221
"pan",221
"landscaping",220
"abscess",220
"pot",220
"33ym",220
"exploded",219
"24ym",219
"ls",219
"herself",218
"acid",217
"35ym",217
"full",217
"62yof",217
"27yf",216
"23ym",216
"laundry",216
"behind",215
"mv",214
"34ym",214
"paint",213
"man",213
"26yf",213
"shelves",213
"lacerations",212
"constantly",212
"36ym",212
"tires",212
"trees",212
"curb",212
"freezer",211
"carts",211
"boot",211
"movement",210
"street",210
"train",210
"if",209
"jumping",208
"mech",208
"crate",206
"playing",206
"frequently",206
"across",206
"cuff",205
"min",205
"landscaper",205
"engine",205
"mult",205
"9",204
"pieces",204
"urine",204
"sink",204
"fan",203
"deli",203
"speed",203
"muscles",203
"cheek",202
"little",202
"scissors",201
"control",200
"pizza",200
"toxic",200
"lg",200
"periods",200
"tripping",199
"seat",199
"shoveling",199
"likely",199
"flight",199
"medical",199
"deep",198
"month",198
"traumatic",198
"suffered",197
"28yf",197
"50ym",197
"rotator",196
"occured",196
"39ym",195
"bread",195
"employed",195
"lid",195
"roofing",195
"company",194
"took",194
"tube",194
"42ym",194
"hanging",194
"barn",193
"goggles",192
"lacs",192
"accid",192
"45ym",192
"25yf",192
"humerus",192
"welder",192
"opened",191
"vision",191
"17yof",191
"46ym",190
"suture",190
"kneeling",190
"cable",190
"wheeler",189
"spray",189
"containers",189
"dump",189
"fork",188
"obj",188
"placing",188
"lbs",188
"cattle",188
"stabbed",188
"monoxide",188
"eyelid",188
"exacerbation",187
"labor",187
"63yof",187
"trimming",187
"lightheaded",187
"fractures",187
"be",186
"very",186
"woke",186
"fist",186
"housekeeper",186
"beer",186
"e",186
"parts",185
"plant",185
"admit",185
"roll",185
"rusty",185
"23yf",185
"itching",185
"x1",185
"poison",185
"feels",184
"cramping",183
"cab",183
"position",183
"protective",183
"unit",183
"cardboard",183
"dishwasher",183
"22ym",183
"they",183
"sliced",182
"29yf",182
"circular",182
"iron",182
"49ym",182
"24yf",182
"radiates",182
"bolt",181
"dropping",181
"64yof",181
"poisoning",181
"effusion",181
"sth",181
"peice",180
"emt",180
"37ym",179
"center",179
"unable",179
"banged",179
"lawn",179
"toilet",179
"cna",178
"touched",178
"stated",178
"type",178
"more",178
"44ym",178
"ing",177
"38ym",177
"prisoner",177
"children",177
"tr",176
"shut",176
"joint",176
"mower",176
"weakness",176
"daily",176
"drywall",175
"transferring",175
"conditioner",175
"garage",175
"physical",174
"40ym",174
"pool",174
"67",174
"happened",174
"shift",174
"procedure",173
"case",173
"too",173
"drilling",172
"fibula",172
"22yf",172
"hay",171
"platform",170
"contus",169
"internal",169
"worked",169
"sun",169
"trapezius",169
"cough",169
"reached",169
"scraped",168
"persistent",168
"cook",168
"41ym",167
"66yom",167
"43ym",167
"unrestrained",167
"pregnant",167
"disease",167
"railing",166
"performing",165
"transporting",165
"cwp",165
"47ym",165
"infection",165
"communicable",165
"tibia",165
"stopped",164
"spasms",164
"staple",163
"tx",163
"surface",163
"location",162
"laying",162
"item",161
"liquid",161
"sticking",161
"tearing",161
"fryer",161
"pound",161
"flash",161
"discomfort",161
"bug",161
"requires",161
"injection",161
"21ym",160
"leaving",160
"tissue",160
"breast",159
"first",159
"region",159
"48ym",159
"bin",159
"walk",159
"use",158
"68",157
"scald",157
"51ym",157
"witih",156
"living",156
"group",156
"kids",156
"shocked",156
"overhead",155
"ind",155
"spider",155
"floors",155
"x3",154
"nerve",154
"surgery",154
"steam",154
"cars",154
"aluminum",154
"friday",153
"sb",153
"call",153
"taxi",153
"sent",153
"without",152
"chef",152
"boat",151
"road",151
"eyeball",151
"material",151
"brick",151
"etoh",151
"femur",150
"keratitis",150
"occurred",150
"thermal",150
"53ym",150
"pelvic",150
"flipped",150
"waitress",150
"po",150
"roofer",149
"itchy",149
"bldg",149
"extremity",149
"possibly",149
"airport",149
"motor",149
"pinched",149
"lateral",149
"52ym",148
"loose",148
"log",148
"attempted",148
"derangement",148
"retained",148
"facility",147
"rearended",147
"load",147
"inverted",147
"pm",147
"toes",147
"bil",146
"screw",146
"backward",146
"deg",146
"yard",146
"backpain",145
"washer",145
"68yom",145
"cornea",145
"dirt",145
"wash",145
"teacher",144
"bull",144
"later",144
"prolonged",144
"golf",144
"impact",143
"sidewalk",143
"tightness",143
"same",143
"catching",142
"leaning",142
"fixing",142
"31yf",142
"still",141
"help",141
"crane",141
"weak",141
"bicep",141
"breath",141
"plantar",141
"hotel",141
"second",140
"station",140
"soft",140
"students",140
"inv",140
"54ym",139
"band",139
"believes",139
"bottom",139
"hi",139
"inside",139
"ivy",139
"aide",138
"sign",138
"wears",138
"67yom",138
"rupture",138
"sutures",138
"scalpel",138
"65yof",137
"repair",137
"roller",137
"cover",137
"grocery",137
"surgical",137
"cashier",137
"protection",137
"afternoon",137
"overuse",136
"rxn",136
"fib",135
"bruising",135
"55ym",135
"rad",135
"hurts",135
"tech",134
"black",134
"16yom",134
"wrestling",134
"tipped",134
"hemorrhage",133
"scaffold",133
"remove",133
"rollover",133
"suturing",133
"plywood",133
"32yf",133
"hook",133
"grass",132
"bwd",132
"ulna",132
"metacarpal",132
"frequent",132
"70",131
"2d",131
"sheetrock",131
"rug",131
"manual",131
"stack",130
"forearms",130
"volunteer",130
"hammering",130
"pass",130
"pipes",129
"v",129
"my",129
"drinking",129
"hyperextended",129
"rest",128
"cage",128
"coccyx",128
"admitted",128
"wind",128
"luggage",128
"collapsed",128
"20ym",128
"agent",128
"33yf",127
"auto",127
"outstretched",127
"biba",127
"cp",127
"sledge",127
"drawer",127
"rubber",127
"rail",126
"basketball",125
"fingernail",125
"big",125
"tow",125
"wounds",125
"jerked",125
"dry",125
"rope",125
"skid",124
"evening",124
"special",124
"mat",124
"clinic",123
"fbs",123
"30yf",123
"linen",123
"19ym",123
"boss",123
"helmet",123
"uneven",123
"tooth",123
"shooting",122
"swung",122
"66yof",122
"twist",122
"milk",122
"100",122
"shopping",122
"non",122
"carpenter",121
"boned",121
"package",121
"hydraulic",121
"emptying",121
"shingles",121
"ball",121
"plates",120
"lwbs",120
"tables",120
"often",120
"radial",120
"lowbackpain",120
"cooler",119
"shattered",119
"testicular",119
"snapped",119
"rod",119
"found",119
"perpetrator",118
"sanitation",118
"do",118
"latex",118
"lowback",118
"34yf",118
"wheezing",117
"chopping",117
"loader",117
"md",117
"deformity",117
"69",117
"camp",117
"shirt",117
"comes",117
"gear",116
"episode",116
"field",116
"details",116
"boiling",115
"battery",115
"here",115
"clavicle",115
"21yf",115
"local",115
"disc",115
"hour",115
"didn",114
"paramedic",114
"ac",114
"panel",114
"drives",114
"paronychia",114
"constant",113
"airbags",113
"foosh",113
"exac",113
"cap",113
"maintenance",112
"criminal",112
"sit",112
"56ym",112
"backed",112
"shower",112
"compression",111
"stove",111
"breathing",111
"occupational",111
"36yf",111
"lots",111
"turn",111
"grab",111
"damage",111
"16yof",111
"patella",111
"upon",111
"responding",110
"propane",110
"class",110
"mixer",110
"worsened",110
"clothes",110
"stone",110
"vegetables",110
"38yf",109
"biceps",109
"deployed",109
"close",109
"pocket",109
"prevent",109
"rd",109
"epicondylitis",109
"40yf",109
"glf",108
"69yom",108
"brush",108
"41yf",108
"before",108
"cans",108
"instrument",108
"moderate",108
"underneath",108
"autistic",108
"mths",108
"phone",108
"ns",107
"lumbago",107
"uv",107
"cafeteria",107
"subungual",107
"tiles",106
"metatarsal",106
"tib",106
"how",106
"bike",106
"crates",106
"39yf",106
"spat",106
"2x4",106
"med",106
"caring",105
"bloody",105
"sat",105
"57ym",105
"splash",105
"jail",105
"swinging",105
"stuff",105
"hood",105
"hosp",105
"attendant",105
"cheese",104
"next",104
"than",104
"barrel",104
"hold",104
"typing",104
"mph",103
"repetative",103
"scratch",103
"period",103
"hat",103
"comp",102
"mask",102
"35yf",102
"sand",102
"quickly",102
"pants",102
"hill",102
"airbag",101
"rn",101
"increasing",101
"amputated",101
"fri",101
"deck",101
"trucks",101
"gsw",101
"level",100
"drain",100
"complex",100
"pains",100
"central",100
"unsure",100
"strap",100
"hypodermic",100
"cases",100
"snap",100
"lumber",100
"butted",99
"frozen",99
"continued",99
"dolly",99
"insulation",99
"difficulty",99
"ext",98
"needs",98
"dresser",98
"what",98
"inhaling",98
"filled",98
"dish",97
"service",97
"thorax",97
"fast",97
"48yf",97
"assailant",97
"daycare",97
"coughing",97
"5cm",96
"complains",96
"screwdriver",96
"wrists",96
"myofascial",96
"movements",96
"couch",96
"people",96
"granite",96
"thickness",96
"achilles",96
"fighter",95
"pump",95
"avoid",95
"given",95
"events",95
"doors",95
"limb",95
"teaching",95
"clothing",95
"crack",95
"sp",94
"tenderness",94
"ditch",94
"skull",94
"flat",94
"rust",94
"ona",94
"hep",94
"burnt",94
"wires",94
"push",94
"nh",94
"exacerbated",94
"sweeping",94
"tuft",94
"1cm",93
"again",93
"required",93
"2cm",93
"boxcutter",93
"patellar",93
"shortness",93
"tick",93
"anterior",93
"activity",93
"recent",93
"soap",92
"37yf",92
"sens",92
"bottles",92
"58ym",92
"brake",92
"vet",92
"mth",92
"arrives",92
"solution",92
"47yf",92
"flooring",92
"painter",91
"45yf",91
"cerv",91
"sledgehammer",91
"50lb",91
"sliding",91
"transmission",91
"shovel",90
"known",90
"ama",90
"fish",90
"most",90
"44yf",90
"11",90
"200",90
"fireman",90
"set",89
"soda",89
"subdue",89
"intermittent",89
"digits",89
"pneumothorax",89
"pile",88
"apprehending",88
"tools",88
"materials",88
"displaced",88
"volunteering",88
"football",88
"pickup",88
"immediate",88
"fixture",88
"aof",88
"stomach",88
"ff",88
"71",88
"hd",88
"st",87
"mop",87
"chainsaw",87
"inciting",87
"x4",87
"pavement",87
"monday",87
"ligament",87
"u",86
"sore",86
"shelter",86
"three",86
"muscular",86
"heater",86
"active",86
"footing",86
"aches",86
"traffic",86
"mo",86
"bench",85
"soup",85
"edp",85
"30am",85
"dough",85
"proximal",85
"tv",85
"rocks",85
"medial",85
"wc",85
"park",85
"saliva",85
"drum",85
"made",84
"present",84
"base",84
"shifts",84
"spring",83
"directly",83
"pair",83
"tailbone",83
"gravel",83
"motions",83
"wear",83
"stage",83
"dollie",83
"mirror",83
"spraying",83
"walks",83
"fascitis",83
"gallon",83
"pinch",83
"bounced",83
"stacking",83
"excerbated",83
"14",82
"bodily",82
"fists",82
"couple",82
"cold",82
"blurry",82
"46yf",82
"lettuce",82
"carries",82
"slashed",82
"atv",82
"nails",82
"oxygen",82
"paindx",81
"bricks",81
"59ym",81
"packing",81
"torch",81
"employer",81
"take",81
"burst",81
"pelvis",81
"basket",81
"neg",81
"shaft",81
"moves",81
"bartender",80
"re",80
"49yf",80
"53yf",80
"symptoms",80
"violent",80
"300",80
"resulted",80
"injuries",80
"syncopal",79
"adm",79
"20yf",79
"67yof",79
"tendinitis",79
"rebar",79
"height",79
"orbital",79
"broom",79
"sof",79
"academy",78
"blocks",78
"gym",78
"bakery",78
"42yf",78
"obese",78
"dyspnea",78
"radiation",78
"steering",78
"newspapers",78
"assembly",78
"apart",78
"carrier",78
"lll",78
"safe",77
"device",77
"janitor",77
"packages",77
"aid",77
"thursday",77
"operator",77
"sheets",77
"supplies",77
"state",77
"plumber",77
"tailgate",77
"so",77
"saturday",77
"50yf",77
"51yf",77
"digging",77
"80",76
"transfer",76
"wine",76
"specific",76
"68yof",76
"70yom",76
"transferred",76
"g",76
"windows",76
"baseball",76
"xray",76
"tubing",76
"potatoes",76
"tomatoes",75
"lacerating",75
"jamming",75
"popping",75
"splashing",75
"contusionto",75
"knocking",75
"basement",75
"testicle",75
"workplace",75
"69yof",75
"cell",75
"extinguisher",75
"family",75
"department",75
"tie",75
"inner",75
"30pm",75
"manhole",75
"55yf",75
"43yf",75
"drop",75
"conj",74
"cup",74
"gotten",74
"demolition",74
"drive",74
"61ym",74
"elevated",74
"own",74
"setting",74
"aspect",74
"lancet",74
"drug",74
"dorsum",74
"3d",73
"butcher",73
"says",73
"club",73
"icy",73
"extended",73
"bend",73
"mechanism",73
"dancing",73
"process",73
"confused",73
"pulley",73
"numb",73
"farmer",73
"54yf",73
"71yom",73
"bridge",73
"edema",72
"called",72
"pepper",72
"copper",72
"vacuum",72
"drove",72
"bulb",72
"blurred",72
"short",72
"parked",72
"keg",72
"52yf",72
"substance",72
"feel",72
"bp",72
"mixing",72
"posterior",72
"attack",72
"2wks",72
"shlder",72
"chlorine",72
"many",72
"let",71
"monitor",71
"well",71
"men",71
"shoulders",71
"k",71
"18ym",71
"ecchymosis",71
"attic",71
"jobs",71
"able",71
"tenosynovitis",71
"loss",71
"fr",71
"pouring",71
"motorcycle",71
"whileat",71
"shoudler",70
"leaned",70
"shots",70
"thought",70
"bouncer",70
"trimmer",70
"mashed",70
"grain",70
"airplane",70
"disabled",70
"1wk",70
"are",70
"game",70
"sputum",70
"3cm",70
"crashed",69
"housekeeping",69
"city",69
"corn",69
"bruise",69
"boards",69
"placed",69
"mowing",69
"bowl",69
"19yf",68
"awkwardly",68
"register",68
"atr",68
"aggressive",68
"rung",68
"file",68
"seizure",68
"tibial",68
"stings",68
"60ym",68
"bump",68
"stair",68
"collided",68
"buckets",68
"repairing",68
"change",68
"ammonia",67
"butt",67
"mental",67
"backache",67
"cows",67
"mos",67
"29yo",67
"tennis",67
"recycling",67
"hamstring",67
"robbed",67
"sev",67
"57yf",67
"valve",66
"telephone",66
"lacertion",66
"crowbar",66
"scapula",66
"mattress",66
"asphalt",66
"radiator",66
"72",66
"preg",66
"third",66
"course",66
"checking",66
"ankles",66
"folding",66
"scraping",66
"four",66
"pointer",66
"railroad",66
"equip",65
"cash",65
"clamp",65
"scuffle",65
"75",65
"56yf",65
"baby",65
"exercise",65
"boiler",65
"fasciitis",65
"bumper",65
"10ft",65
"individual",65
"6ft",65
"butterfly",65
"their",65
"lips",65
"glue",65
"track",64
"environment",64
"puddle",64
"pin",64
"pd",64
"spilling",64
"sacral",64
"diff",64
"ingestion",64
"ruptured",64
"extension",64
"hives",64
"aggravated",64
"elbowed",64
"collision",64
"lwot",64
"accidentaly",64
"twice",64
"chairs",63
"exhaust",63
"locker",63
"swimming",63
"experienced",63
"space",63
"almost",63
"any",63
"stress",63
"compressor",63
"rec",63
"chisel",63
"24yo",63
"ladders",63
"tight",62
"its",62
"hedge",62
"vent",62
"grate",62
"mover",62
"concussive",62
"tin",62
"shoplifter",62
"apt",62
"lawnmower",61
"grabbing",61
