stem,Freq
3min,2
3mm,1
3mo,1
3mos,1
3nd,1
3night,1
3o,1
3oyom,1
3pm,1
3rd,1
3rdand,1
3rddigit,1
3rdfinger,1
3rdright,1
3rf,1
3rs,1
3sec,1
3w,1
3wa,1
3way,1
3week,1
3wk,1
3wks,1
3x,1
3x4,1
3xs,1
3y,1
3yo,1
3yof,1
3yr,2
4,1
40,1
400,1
4000,1
4000lb,1
400lb,1
400lbs,1
400pound,1
40am,1
40ft,1
40fth,1
40hrs,1
40lb,1
40lbs,1
40lbsat,1
40lbsstate,1
40min,1
40mph,1
40pm,1
40yo,1
40yobm,1
40yohf,1
40yohm,1
40yowf,1
40yowm,1
41,1
41y0m,1
41yobm,1
41yohf,1
41yowf,1
41yowm,1
42,1
4200,1
426,1
42yohf,1
42yohm,1
42yowf,1
42yowm,1
43,1
430,1
430am,1
437,1
43ym,1
43yobm,1
43yohf,1
43yohm,1
43yowf,1
43yowm,1
44,1
44am,1
44yoaf,1
44yobf,1
44yobm,1
44yohf,1
44yohm,1
44yowf,1
44yowm,1
45,1
450,1
4500,1
450lb,1
450lbs,1
45a,1
45am,1
45amdxchst,1
45lb,1
45m,1
45min,1
45mph,1
45p,1
45pm,1
45yobm,1
45yohm,1
45yowf,1
45yowm,1
46,1
460,1
463,1
46yobf,1
46yobm,1
46yohf,1
46yohm,1
46yowf,1
46yowm,1
47,1
473,1
4740,1
47am,1
47yo47yowm,1
47yobf,1
47yohf,1
47yowf,1
47yowm,1
48,1
480,1
480v,1
480volt,1
489,1
48hrs,1
48lb,1
48yobm,1
48yoftrip,1
48yohm,1
48yowf,1
48yowm,1
49,1
49yo,1
49yobf,1
49yobm,1
49yohf,1
49yohm,1
49yowf,1
49yowm,1
4a,1
4am,1
4amwith,1
4arm,1
4cm,1
4d,1
4da,1
4day,2
4dnow,1
4f,1
4feet,1
4finger,1
4ft,1
4ftd,1
4fth,1
4fton,1
4head,1
4hrs,1
4in,1
4inch,1
4m,1
4ma,1
4mnths,1
4mo,1
4night,1
4oo,1
4p,1
4pm,1
4pmtodaydxpr,1
4rd,1
4rth,1
4sec,1
4shoulder,1
4t,1
4tf,1
4tgh,1
4th,1
4thand,1
4thfing,1
4thfinger,1
4wa,1
4wad,1
4ward,1
4wheeler,1
4wks,1
4x,1
4x10,1
4x10lb,1
4x4,1
4x4s,1
4x6,1
4x6ft,1
4x8,1
4y,1
4yom,1
4yr,2
5,1
50,1
500,1
5000,1
5000lb,1
500lb,1
500lbs,1
500pd,1
50am,1
50ft,1
50fth,1
50gal,1
50lb,1
50lbs,1
50lbson,1
50mph,1
50mphat,1
50pm,1
50yobf,1
50yobm,1
50yohm,1
50yowf,1
50yowm,1
51,1
51yobm,1
51yowf,1
51yowm,1
52,1
52yobf,1
52yobm,1
52yohm,1
52yowf,1
52yowm,1
53,1
530,1
530am,1
530pm,1
53lb,1
53yobf,1
53yobm,1
53yohm,1
53yowf,1
53yowm,1
54,1
540lb,1
545,1
545am,1
545pm,1
54yi,1
54yofpinch,1
54yofpul,1
54yohf,1
54yohm,1
54yowf,1
54yowm,1
55,1
55g,1
55gal,1
55gasl,1
55i,1
55lb,1
55lbs,1
55mph,1
55yobm,1
55yohf,1
55yohm,1
55yowf,1
55yowm,1
56,1
56yobm,1
56yofslip,1
56yowf,1
56yowm,1
57,1
57yohm,1
57yowf,1
57yowm,1
58,1
58yobm,1
58yohm,1
58yowf,1
58yowm,1
59,1
59yobf,1
59yobm,1
59yowf,1
59yowm,1
5am,1
5cm,1
5cn,1
5d,1
5da,1
5day,2
5feet,1
5forearm,1
5ft,1
5fth,1
5ftonto,1
5ftt,1
5gal,1
5gl,1
5hour,1
5hourspta,1
5hrs,1
5ht,1
5in,1
5lacer,1
5lb,1
5lbs,1
5m,1
5ma,1
5mile,1
5min,1
5mm,1
5mmol,1
5mo,1
5monthsago,1
5mph,1
5o,1
5oday,1
5oolb,1
5p,1
5pm,1
5pple,1
5step,1
5t,1
5th,1
5thdigit,1
5thfinger,1
5thmetatars,1
5tht,1
5wa,1
5wk,1
5wkd,1
5wks,1
5wksago,1
5x,1
5x10ft,1
5x8,1
5ya,1
5yo,1
5yowm,1
5yr,2
6,1
60,1
600,1
6000,1
600lb,1
600lbs,1
60ft,1
60hr,1
60hrs,1
60lb,1
60lbs,1
60mph,1
60yowf,1
60yowm,1
61,1
61yobf,1
61yohm,1
61yowf,1
61yowm,1
62,1
6200,1
628,1
62yobm,1
62yowf,1
62yowm,1
63,1
630,1
631,1
63yohm,1
63yowf,1
63yowm,1
64,1
6400,1
645,1
64yobm,1
64yowf,1
64yowm,1
65,1
650,1
650am,1
65ft,1
65lb,1
65mph,1
65yowf,1
65yowm,1
66,1
661,1
66yowf,1
66yowm,1
67,1
67h,1
67th,1
67yowf,1
67yowm,1
68,1
68yowf,1
68yowm,1
69,1
69lbs,1
69yowf,1
69yowm,1
6a,1
6am,1
6cm,1
6d,1
6da,1
6day,1
6dayvomit,1
6ft,1
6ftfell,1
6fth,1
6hour,1
6hourspta,1
6hrs,1
6inch,1
6lb,1
6ma,1
6mo,1
6oo,1
6pipe,1
6pm,1
6th,1
6unknown,1
6w,1
6wa,1
6wet,1
6wks,1
6x,1
6x10,1
6x6,1
6yof,1
6yom,1
6yr,1
7,1
70,1
700,1
700lb,1
700lbpig,1
70lb,1
70lbs,1
70mph,1
70yobf,1
70yowf,1
70yowm,1
71,1
71yobm,1
71yowm,1
72,1
7200,1
722,1
72yowm,1
73,1
730,1
730am,1
73yowf,1
73yowm,1
745am,1
745p,1
747,1
74yowm,1
75,1
750,1
750lb,1
75lb,1
75lbs,1
75mph,1
76yowm,1
77,1
78,1
78yowf,1
78yowm,1
79,1
7a,1
7am,1
7began,1
7cm,1
7d,1
7day,1
7feet,1
7ft,1
7fth,1
7lb,1
7lbs,1
7p,1
7pm,1
7th,1
7wa,1
7wks,1
7x,1
7yo,1
7yof,1
7yom,1
8,1
80,1
800,1
800lb,1
800lbs,1
800ppm,1
80dx,1
80ft,1
80kg,1
80lb,1
80lbs,1
80mph,1
80pound,1
81yowm,1
82yowm,1
830am,1
843,1
84yo,1
85,1
850,1
88,1
89,1
89yowm,1
8am,1
8cm,1
8d,1
8da,1
8day,1
8dys,1
8feet,1
8foot,1
8ft,1
8fth,1
8ftonto,1
8hr,1
8hrs,1
8hrslabor,1
8lb,1
8lbs,1
8m,1
8mo,1
8month,1
8pm,1
8th,1
8ton,1
8week,1
8wks,1
8x,1
8x8,1
8yof,1
8yom,1
8yr,1
9,1
90,1
900,1
900lb,1
90deg,1
90hr,1
90lb,1
90lbs,1
90min,1
90minut,1
90yf,1
91,1
911,1
915am,1
92,1
928,1
92yo,1
930am,1
932,1
940pm,1
95,1
95lb,1
96,1
968,1
97,1
98,1
99,1
997,1
9a,1
9am,1
9amtoday,1
9cm,1
9d,1
9da,1
9feet,1
9ft,1
9fth,1
9hrs,1
9m,1
9mm,1
9mo,1
9pm,1
9pmwhile,1
9th,1
9ton,1
9wks,1
9yof,1
9yom,1
a,1
a2x4,1
a300,1
a36yom,1
a3rd,1
a4,1
a6oo,1
aa,1
aaaaanrain,1
aabl,1
aaccident,1
aago,1
aand,1
aarm,1
aarvest,1
aasleep,1
aasoc,1
aassult,1
aat,1
aattack,1
aawkward,1
aay,1
ab,3
abackyard,1
abacsess,1
abag,1
abakeri,1
abanddon,1
abandon,2
abaras,1
abarb,1
abars,2
abas,2
abat,2
abbdomen,1
abbr,1
abc,1
abcens,1
abcess,2
abck,1
abd,1
abd1st,1
abdarea,1
abdc,1
abdcramp,1
abdlmen,1
abdm,1
abdmin,1
abdnorm,1
abdo,1
abdom,1
abdomein,1
abdomem,1
abdomen,2
abdomenioi,1
abdomenpain,1
abdomenwhil,1
abdomi,1
abdomin,2
abdomina,1
abdominalcontus,1
abdominalpain,1
abdomn,2
abdomnin,1
abdonin,1
abdpain,1
abdthru,1
abduct,3
abductor,1
abdwal,1
abdx2,1
abe,2
abehavior,1
abelt,1
aberas,1
abesto,1
abg,1
abig,1
abil,1
abin,1
abiopsi,1
abit,1
abl,2
ablad,1
ablat,1
ableto,1
ablow,1
ablunt,1
abm,1
abmul,1
abn,1
abnl,1
abnml,1
abnorm,4
abnormla,1
abo,1
aboard,1
abomdin,1
abook,1
abort,1
abot,1
abou,1
abouit,1
about3,1
about30,1
about4,1
abouv,1
aboveey,1
abovehead,1
abovehit,1
abovelt,1
abox,1
abr,2
abra,2
abraas,1
abrad,2
abrai,1
abraion,1
abraison,2
abras,5
abrasedl,1
abrasi,1
abrasiion,2
abrasio,1
abrasio0n,1
abrasioin,1
abrasionat,1
abrasionb,1
abrasioney,1
abrasionfac,1
abrasionfing,1
abrasionlow,1
abrasionlt,1
abrasionneck,1
abrasionnot,1
abrasionsmuscl,1
abrasionsto,1
abrasionto,1
abrasoin,2
abrason,2
abrass,1
abrast,1
abraws,1
abreaion,1
abreak,1
abrfas,1
abrick,1
abrin,1
abrsaion,1
abrsas,1
abrsion,2
abrsn,1
abrsx,1
abrubt,1
abrupt,2
absc,2
abscess,2
abscessto,1
abscond,1
absorb,3
absorpt,1
abt,1
abt0,1
abucket,1
abuild,1
abul,1
abupt,1
abus,5
abut,1
abwith,1
abx,1
ac,2
acadami,1
acadamym,1
academey,1
academi,1
academyy,1
acadmemi,1
acan,1
acar,1
acardboard,1
acart,1
acashi,1
acat,1
acativi,1
acc,1
accademi,1
acccid,1
acccident,1
acccidentalycut,1
accd,1
accdeit,1
accdent,1
accedenti,1
acceler,1
acces,2
access,2
accessori,1
accgot,1
acci,1
accicent,1
accid,5
accidcent,1
acciddent,1
accidednt,1
acciden,2
accidenat,1
accidenatlli,1
accidenlti,1
accident,2
accidenta,1
accidentaali,1
accidentailli,1
accidental,1
accidentali,1
accidentallli,1
accidentallt,1
accidentallti,1
accidentallyat,1
accidentallycut,1
accidentallyfel,1
accidentallygot,1
accidentallyhit,1
accidentallyl,1
accidentallypain,1
accidentallyprick,1
accidentallypunch,1
accidentallypunctur,1
accidentallystab,1
accidentallystep,1
accidentallystruck,1
accidentallystuck,1
accidentallytrip,2
accidentalyl,1
accidentalyspil,1
accidentalystep,1
accidenti,2
accidential,1
accidentl,1
accidentlali,1
accidentlli,1
accidentlyu,1
accidentrali,1
accidentx2day,1
accidet,1
accidetn,2
accidnet,1
accidnetlycut,1
accidnt,2
accidsust,1
acciedent,1
accient,1
accisdent,1
accixdent,1
accodent,1
accompani,1
accomplish,1
accord,1
account,1
accross,1
acct,1
accucheck,1
accus,2
ace,1
acedemi,1
aceil,1
acement,1
acer,1
acet,2
acetabular,1
acetabulum,1
aceton,1
acetontril,1
acetyl,1
acetylen,1
acetylenetorch,1
acf,1
ach,4
achain,1
achair,1
achas,1
achef,1
achetoday,1
achey,1
achi,2
achill,1
achilli,2
achisel,1
achll,1
acial,1
acic,1
acid,5
aciddrain,1
acident,1
acidfel,1
acidosi,1
acigarett,1
acit,2
ack,2
acl,2
aclean,1
aclid,1
aclient,1
aclin,1
aco,1
acompost,1
acomput,1
aconcuss,1
aconst,1
aconstruct,1
acontus,1
acook,1
acool,1
acorn,1
acorss,1
acosmotolgist,1
acount,1
acourtesi,1
acoust,1
acquir,1
acran,1
acrib,1
acro,1
acrobat,2
acromi,1
acromioclavicul,1
acromioclavicular,1
acromion,1
acromioplasti,1
across,1
acrossback,1
acrri,1
acrtoss,1
acrush,1
acrycl,1
acryclin,1
acryl,2
acrylicat,1
act,4
action,1
activ,7
activeat,1
activi,2
activit,2
activityand,1
activitylast,1
activl,1
actor,1
actress,1
actu,1
actual,2
actuat,1
actur,2
actviti,1
acu,2
acuat,1
acuiti,1
acur,1
acurb,1
acustom,1
acut,3
acutebilat,1
acutechest,1
acutel,1
acuteleft,1
acuteloc,1
acutelow,1
acutemechan,1
acuteo,1
acuteon,1
acuteonset,1
acuteright,1
acutertsd,1
acutesciatica,1
acutg,1
ad,3
adapt,1
adark,1
aday,1
adaycar,1
adaydxtorticolli,1
add,1
addault,1
addict,1
addit,3
addomin,1
address,1
adduct,3
adductor,1
ade,1
adeno,1
adenopathi,1
adenosin,1
adequ,2
adhd,1
adhes,3
adirti,1
adisplay,1
adit,1
adj,1
adjac,1
adjust,5
adjustingst,1
adl,1
adlust,1
adm,1
admi,2
admiin,1
admin,1
administ,3
administeringinsulin,1
administeringsq,1
administermed,1
administr,2
adminst,1
admiss,2
admist,2
admit,4
admitd,1
admitsto,1
admitt,1
admittedfor,1
admti,1
adn,1
adnexa,1
adog,1
adolesc,2
adolli,1
adomin,1
adoor,1
adren,1
adrer,1
adriv,1
adrunk,1
adult,2
advanc,4
adver,1
advers,1
advertis,1
advertisingsign,1
advic,1
advis,1
aedd,1
aelectr,1
aerat,1
aerob,1
aerol,1
aerosol,2
aerospac,1
aersol,1
aever,1
af,1
afaci,1
afacia,1
afacilti,1
afactori,1
afal,1
afat,1
afenc,1
afer,1
aferlist,1
afernoon,1
afet,1
afetr,1
afew,1
affect,4
affeect,1
affraid,1
affter,1
afi,1
afib,1
afight,1
afing,1
afir,1
afirefight,2
afloor,2
afold,1
aforklift,1
afraid,1
afram,1
afrer,1
african,1
afront,1
afrter,1
afsubject,1
aft,2
aftand,1
afteer,1
after,1
after2,1
aftera,1
afterair,1
afteranoth,1
afterassist,1
afterb,1
afterbirth,1
aftercaught,1
afterdo,1
afterdoor,1
afterexposur,1
afterf,1
afterfight,1
afterfound,1
afterget,1
afterh,1
afterinject,1
afterit,1
afterjumo,1
afterl,1
afterlift,1
aftermechan,1
aftermet,1
aftermov,1
afternear,1
afternnon,1
afternon,1
afternonn,1
afternoo,1
afternoon,1
afteron,1
afterpick,1
afterpul,1
afterr,1
afterrash,1
afterrecap,1
afterring,1
aftersand,1
afterscrap,1
afterscuffl,1
afterse,1
aftersh,1
aftersit,1
afterst,1
afterstand,1
afterstruck,1
aftertep,1
aftertransf,1
afterward,2
afterwhen,1
afterwork,2
aftger,1
aftr,2
aftrer,1
aftrnoon,1
aftter,1
aftwr,1
aful,1
ag,1
ag0,1
agaent,1
agaimnst,1
again,1
againast,1
againdx,1
againet,1
againsdt,1
againsi,1
against,2
againsta,1
againstback,1
againstcabinet,1
againstmet,1
againstpol,1
againstsharp,1
againstt,1
againstth,2
againstunk,1
againstwal,1
againstwindow,1
againt,1
agaisnt,1
agaist,1
agait,1
agao,1
agar,1
agav,1
age,3
agenc,1
agent,2
ager,1
aggerv,1
aggit,1
aggitatedpt,1
aggrav,5
aggravateback,1
aggravatedchron,1
aggravt,2
aggres,1
aggress,3
aggressiveresid,1
aggrev,3
aggriv,4
agian,1
agig,1
agil,1
agina,1
aginst,1
agit,4
agitatedand,1
agitatedpt,1
agnio,1
agnit,1
ago,1
agoaft,1
agoand,1
agoat,1
agoc,1
agoconjunct,1
agodx,1
agogo,1
agohurt,1
agoin,1
agol,1
agomad,1
agono,1
agonow,1
agopt,1
agoslip,1
agoswel,1
agot,1
agothen,1
agowhen,1
agowher,1
agowhil,1
agowork,1
agp,1
agrav,1
agress,2
agricultur,2
agroceri,1
aground,1
agsinst,1
agtrt,1
ahamm,1
ahand,1
ahandsaw,1
ahay,1
ahdn,1
ahead,1
aheat,1
aheavi,1
ahelmet,1
ahen,1
ahigh,1
ahil,1
ahing,1
ahit,1
ahnd,1
aho,1
ahol,1
ahold,1
ahom,1
ahomecar,1
ahos,1
ahospit,1
ahot,1
ahotdog,1
ahous,1
ahousekeep,1
ahypoderm,1
aicd,1
aid,5
aidankl,1
aidepush,1
aidwa,1
ail,1
aileron,1
aim,1
ain,3
aind,1
ainjur,1
ainst,1
air,2
airabg,1
airbag,2
airbagsc,1
airbg,1
airbon,1
airbonr,1
airbor,1
airchisel,1
aircompress,1
aircompressor,1
aircondion,1
aircondit,2
aircondition,1
aircraft,1
airdril,1
airfoam,1
airfreshen,1
airgun,1
airhamm,1
airhos,1
airlin,2
airpack,1
airplain,1
airplan,2
airplanedx,1
airplaneheadach,1
airplanewhil,1
airplort,1
airport,1
airvent,1
airway,1
aisl,2
aith,1
aj,1
ajackhamm,1
ajob,1
ajunk,1
ajunkyard,1
ajust,2
ak,1
aka,1
ake,1
aki,1
akl,1
aknif,1
aknl,1
akron,1
akward,1
al,2
al0t,1
alacer,1
aladd,1
alai,1
alanc,1
alarg,1
alarm,1
alaterc,1
alaundri,1
alawn,1
alc,1
alcerc,1
alco,1
alcohl,1
alcohol,2
alcoholhappen,1
ale,1
aleaf,1
aleath,1
aleft,1
aleg,1
alein,1
alelrg,1
alerc,1
alerg,1
alert,2
alev,1
alfredo,1
alga,1
algaecid,1
alien,2
alift,1
alight,1
align,2
alimp,1
aliphat,1
alittl,1
aliv,2
alivnig,1
alka,1
alkai,1
alkali,1
alkalin,2
alkalinefoam,1
alkaosi,1
alkl,1
alkyl,1
all,1
all5,1
allcohol,1
allday,1
alledg,1
alleg,4
allegi,1
aller,1
allerg,2
allergen,2
allergi,3
allergicv,1
allergix,1
alleri,1
allerig,1
allerigc,1
allerrg,1
allevi,2
alley,1
alli,2
allig,1
allign,1
allmost,1
allnight,1
allot,1
allov,1
allow,3
alloy,1
allreg,1
allrxn,1
allth,1
alluminum,1
allylamin,1
alm,1
almond,1
almost,1
alnd,1
alo,2
aloc,1
alog,1
alon,2
along,1
alongan,1
alongsid,1
alot,1
alotdust,1
alotof,1
alpaca,1
alreadi,1
also,1
alsobeen,1
alsobucket,1
alsoc,1
alsocaught,1
alsofelsdmultipleabra,1
alsofing,1
alsoha,1
alsohurt,1
alson,1
alsostock,1
alsotak,1
alsowork,1
alt,1
altar,1
alter,3
alteract,1
alterc,2
altercatin,1
altercatino,1
altercatio,1
altercationand,1
altercationat,1
altercationdx,1
altercationfac,1
altercationfel,1
altercationw,1
altercationwith,1
altercatoin,1
altercaton,1
altern,2
altervcat,1
although,1
altitut,1
alto,1
alumimum,1
alumin,1
aluminium,1
aluminm,1
aluminum,1
aluminumcast,1
aluminumdx,1
aluminumstruck,1
aluminun,1
alumium,1
alumminum,1
alvuls,1
alwasi,1
alway,1
alzheim,2
am,2
ama,1
amachin,1
aman,1
amanag,1
amarina,1
amask,1
amason,1
amat,1
amb,1
ambank,1
ambbul,1
amber,1
ambient,1
amblanc,1
ambo,1
ambu,1
ambualnc,1
ambubag,1
ambul,6
ambulanac,1
ambulanceshatt,1
ambulanceto,1
ambulancetruck,1
ambulancewhil,1
ambulatingcarri,1
ambulatori,1
ambulett,2
ambush,1
amd,1
amdit,1
amditsto,1
amdxcorn,1
ame,1
amechan,2
amed,1
amenioitkanol,1
amenst,1
amer,1
amerag,1
american,1
amet,1
amiot,1
amirodon,1
amish,1
amix,1
amk,1
amm,1
ammonia,1
ammoniaand,1
ammonium,1
ammount,1
ammput,1
ammunit,1
amn,1
amnd,1
amnesia,1
amnest,1
amniot,1
amnkl,1
amolidpin,1
among,1
amongst,1
amonia,1
amonth,1
amorir,1
amost,1
amount,2
amoutn,1
amp,2
amphetamin,2
amphitheatr,1
ampl,1
amplifi,1
ampoul,1
amptat,1
ampuat,2
ampul,1
ampult,1
amput,6
amputa,2
amputaion,1
amputat,3
amputate,1
amputatedfing,1
amputati,1
amputatiion,1
amputatingth,1
amputatingtip,1
amputatio,1
amputatioin,1
amputationfingertip,1
amputationi,1
amputationof,1
amputatoin,1
amputaton,1
amputatoni,1
amputatuion,1
ampute,1
amputetdx,1
amputt,1
amr,1
amsc,1
amt,2
amterior,1
amtof,1
amul,1
amulatori,1
amupt,2
amus,2
amv,1
amwhen,1
amwork,1
an,1
an0ther,1
anagit,1
anail,1
anair,1
anakl,1
anal,1
analges,1
analgesicdx,1
analuminum,1
anambul,1
ananni,1
anaphylact,1
anaphylaxi,1
