"word","n"
"going",567
"burned",566
"bibems",563
"tried",562
"sheet",555
"jumped",554
"morning",554
"air",553
"oil",550
"power",549
"also",548
"multiple",548
"stepping",548
"stretcher",548
"buttocks",544
"attempting",543
"insect",540
"spilled",536
"razor",535
"person",534
"abdomen",530
"lost",530
"atwork",529
"smashed",529
"distal",527
"duty",527
"occ",527
"bilat",524
"get",524
"became",522
"prior",522
"hole",520
"container",519
"line",519
"fence",515
"washing",513
"wooden",511
"heard",510
"grabbed",508
"legs",508
"thinks",508
"furniture",507
"pick",507
"mouth",506
"sob",506
"chronic",505
"running",502
"slammed",501
"great",500
"tunnel",499
"burning",498
"complaining",498
"msk",493
"opening",493
"scaffolding",493
"sustaining",493
"sitting",492
"sided",491
"horse",490
"vehicle",486
"smoke",483
"cabinet",482
"bucket",480
"spine",480
"8",477
"removal",477
"electric",476
"plastic",474
"small",474
"motion",472
"holding",471
"edge",469
"syndrome",469
"lb",468
"unloading",466
"allergic",464
"parking",464
"store",464
"dizziness",462
"carpal",460
"gate",460
"wheelchair",459
"post",457
"rear",457
"vs",457
"severe",456
"str",455
"delivering",454
"dehydration",453
"belt",450
"hose",450
"lumbosacral",450
"sensation",449
"px",448
"semi",448
"turned",448
"chain",447
"numbness",447
"child",446
"beam",445
"cat",444
"part",444
"white",443
"electrical",441
"conjunctivitis",438
"palm",436
"grease",435
"restraining",435
"cement",432
"fing",431
"involved",431
"hard",430
"perp",430
"crushing",429
"spit",429
"ab",428
"abras",428
"desk",426
"hours",426
"put",425
"changing",422
"denies",422
"bags",419
"high",418
"kitchen",417
"shock",417
"machinery",415
"two",414
"cow",413
"pts",412
"several",411
"fd",410
"restaurant",409
"chasing",408
"training",408
"front",406
"walked",406
"dust",405
"items",405
"iv",405
"trunk",405
"dizzy",404
"fighting",404
"inmate",403
"chemicals",401
"radiculopathy",401
"reaction",399
"warehouse",399
"restrain",398
"assisting",396
"dishes",395
"glasses",395
"glove",395
"light",395
"nurse",395
"ceiling",394
"nursing",394
"nasal",391
"reaching",391
"security",391
"slipping",390
"gas",387
"tool",387
"bee",385
"room",385
"tray",385
"irritation",384
"clients",382
"just",381
"poked",378
"yest",378
"mail",377
"noticed",377
"fumes",374
"patients",374
"climbing",373
"tile",372
"flank",371
"board",369
"making",368
"forward",367
"wheel",365
"bottle",364
"12",363
"info",362
"bleeding",360
"partial",360
"past",359
"trip",359
"tdy",358
"radius",357
"shin",357
"hisp",356
"rack",355
"ems",353
"noted",353
"unknown",353
"contaminated",352
"arrest",351
"bilateral",350
"break",350
"ambulance",349
"tendon",349
"pinned",347
"stood",347
"care",344
"catch",344
"increased",344
"pinky",344
"admits",343
"coworker",343
"hernia",343
"rock",343
"industrial",340
"move",340
"otj",340
"syncope",340
"bumped",339
"spr",339
"passenger",338
"eval",337
"jammed",333
"fxs",332
"mechanic",328
"knocked",327
"stands",327
"tank",327
"red",326
"cleaner",325
"cord",324
"guard",324
"thrown",324
"van",324
"shop",323
"building",322
"balance",321
"old",321
"passed",320
"throwing",319
"pressure",318
"things",318
"computer",316
"gave",316
"paper",316
"turning",316
"wrench",316
"contu",314
"shoe",312
"tonight",312
"breaking",311
"7",310
"fa",310
"installing",310
"safety",310
"poss",309
"swollen",308
"freq",307
"slicing",307
"stop",307
"arresting",306
"bld",306
"unk",306
"giving",305
"hiv",305
"possible",305
"cm",303
"factory",303
"may",302
"combative",301
"removing",301
"carpet",300
"j",299
"sprayed",299
"approx",297
"riding",297
"15",296
"ended",296
"radiating",296
"utility",296
"chin",295
"fluids",293
"rolling",293
"bursitis",292
"earlier",292
"cooking",291
"asthma",290
"dislocated",290
"office",290
"pallets",290
"presented",290
"x2",290
"times",289
"20",288
"abr",288
"picked",288
"plate",288
"agitated",285
"clean",285
"tingling",285
"way",284
"end",283
"inhaled",283
"bone",281
"grill",281
"hurting",280
"30",279
"missed",278
"seen",278
"customer",277
"punctured",277
"blunt",275
"workdx",275
"wrong",274
"go",272
"blow",270
"hair",270
"coming",269
"musculoskeletal",269
"away",268
"boots",268
"buttock",267
"delivery",265
"elevator",265
"phalanx",265
"splinter",265
"pc",264
"run",264
"abrs",263
"eyebrow",262
"tear",262
"n",261
"multi",260
"dock",259
"ha",259
"operating",259
"trays",259
"chicken",257
"threw",257
"counter",256
"fingertip",256
"recently",256
"scene",256
"bleach",254
"jaw",254
"minor",254
"sting",254
"caused",253
"dental",252
"dumpster",252
"infected",252
"starting",252
"vomiting",252
"coffee",251
"corner",250
"exp",250
"psych",250
"ramp",250
"syringe",250
"throat",249
"dept",248
"mild",248
"blew",247
"shoes",247
"50",246
"health",243
"heel",243
"chem",242
"insulin",242
"per",242
"related",242
"conveyor",241
"months",241
"accidental",240
"bk",240
"moved",240
"accidently",239
"attacked",238
"branch",238
"debris",238
"cramps",237
"rts",237
"slid",237
"stocking",237
"accident",236
"direct",236
"near",236
"block",235
"closing",235
"drawing",235
"stand",235
"handling",234
"suddenly",234
"like",233
"uses",232
"painting",231
"place",231
"mechanical",230
"superficial",230
"bites",229
"carbon",229
"lab",229
"stool",229
"weight",229
"handle",227
"inguinal",227
"stung",227
"yet",227
"frame",226
"refrigerator",226
"mopping",225
"oven",225
"snow",225
"bathroom",224
"removed",224
"animal",223
"feeling",223
"hr",223
"press",223
"pan",221
"popped",221
"year",221
"abscess",220
"landscaping",220
"pot",220
"exploded",219
"ls",219
"acid",217
"full",217
"laundry",216
"behind",215
"mv",214
"man",213
"paint",213
"shelves",213
"constantly",212
"curb",212
"lacerations",212
"tires",212
"trees",212
"boot",211
"carts",211
"freezer",211
"movement",210
"street",210
"train",210
"jumping",208
"mech",208
"across",206
"crate",206
"frequently",206
"playing",206
"cuff",205
"engine",205
"landscaper",205
"min",205
"mult",205
"9",204
"pieces",204
"sink",204
"urine",204
"deli",203
"fan",203
"muscles",203
"speed",203
"cheek",202
"little",202
"scissors",201
"control",200
"lg",200
"periods",200
"pizza",200
"toxic",200
"flight",199
"likely",199
"medical",199
"seat",199
"shoveling",199
"tripping",199
"deep",198
"month",198
"traumatic",198
"suffered",197
"occured",196
"rotator",196
"bread",195
"employed",195
"lid",195
"roofing",195
"company",194
"hanging",194
"took",194
"tube",194
"barn",193
"accid",192
"goggles",192
"humerus",192
"lacs",192
"welder",192
"opened",191
"vision",191
"cable",190
"kneeling",190
"suture",190
"containers",189
"dump",189
"spray",189
"wheeler",189
"cattle",188
"eyelid",188
"fork",188
"lbs",188
"monoxide",188
"obj",188
"placing",188
"stabbed",188
"exacerbation",187
"fractures",187
"labor",187
"lightheaded",187
"trimming",187
"18",186
"beer",186
"e",186
"fist",186
"housekeeper",186
"woke",186
"admit",185
"itching",185
"parts",185
"plant",185
"poison",185
"roll",185
"rusty",185
"x1",185
"feels",184
"cab",183
"cardboard",183
"cramping",183
"dishwasher",183
"position",183
"protective",183
"unit",183
"circular",182
"iron",182
"radiates",182
"sliced",182
"bolt",181
"dropping",181
"effusion",181
"poisoning",181
"sth",181
"emt",180
"peice",180
"banged",179
"center",179
"lawn",179
"toilet",179
"unable",179
"cna",178
"stated",178
"touched",178
"type",178
"children",177
"ing",177
"prisoner",177
"daily",176
"joint",176
"mower",176
"shut",176
"tr",176
"weakness",176
"conditioner",175
"drywall",175
"garage",175
"transferring",175
"happened",174
"physical",174
"pool",174
"shift",174
"case",173
"procedure",173
"drilling",172
"fibula",172
"hay",171
"platform",170
"contus",169
"cough",169
"internal",169
"reached",169
"sun",169
"trapezius",169
"worked",169
"cook",168
"persistent",168
"scraped",168
"disease",167
"pregnant",167
"unrestrained",167
"railing",166
"communicable",165
"cwp",165
"infection",165
"performing",165
"tibia",165
"transporting",165
"spasms",164
"stopped",164
"staple",163
"surface",163
"tx",163
"laying",162
"location",162
"bug",161
"discomfort",161
"flash",161
"fryer",161
"injection",161
"item",161
"liquid",161
"pound",161
"requires",161
"sticking",161
"tearing",161
"leaving",160
"tissue",160
"bin",159
"breast",159
"first",159
"region",159
"walk",159
"40",158
"use",158
"scald",157
"group",156
"kids",156
"living",156
"shocked",156
"witih",156
"floors",155
"ind",155
"overhead",155
"spider",155
"aluminum",154
"cars",154
"nerve",154
"steam",154
"surgery",154
"x3",154
"call",153
"friday",153
"sb",153
"sent",153
"taxi",153
"chef",152
"without",152
"boat",151
"brick",151
"etoh",151
"eyeball",151
"material",151
"road",151
"femur",150
"flipped",150
"keratitis",150
"occurred",150
"pelvic",150
"po",150
"thermal",150
"waitress",150
"airport",149
"bldg",149
"extremity",149
"itchy",149
"lateral",149
"motor",149
"pinched",149
"possibly",149
"roofer",149
"attempted",148
"derangement",148
"log",148
"loose",148
"retained",148
"facility",147
"inverted",147
"load",147
"pm",147
"rearended",147
"toes",147
"backward",146
"bil",146
"deg",146
"screw",146
"yard",146
"backpain",145
"cornea",145
"dirt",145
"wash",145
"washer",145
"bull",144
"golf",144
"later",144
"prolonged",144
"teacher",144
"impact",143
"sidewalk",143
"tightness",143
"catching",142
"fixing",142
"leaning",142
"bicep",141
"breath",141
"crane",141
"help",141
"hotel",141
"plantar",141
"still",141
"weak",141
"inv",140
"second",140
"soft",140
"station",140
"students",140
"band",139
"believes",139
"bottom",139
"hi",139
"inside",139
"ivy",139
"aide",138
"rupture",138
"scalpel",138
"sign",138
"sutures",138
"wears",138
"afternoon",137
"cashier",137
"cover",137
"grocery",137
"protection",137
"repair",137
"roller",137
"surgical",137
"overuse",136
"rxn",136
"bruising",135
"fib",135
"hurts",135
"rad",135
"black",134
"tech",134
"tipped",134
"wrestling",134
"hemorrhage",133
"hook",133
"plywood",133
"remove",133
"rollover",133
"scaffold",133
"suturing",133
"bwd",132
"frequent",132
"grass",132
"metacarpal",132
"ulna",132
"2d",131
"manual",131
"rug",131
"sheetrock",131
"forearms",130
"hammering",130
"pass",130
"stack",130
"volunteer",130
"drinking",129
"hyperextended",129
"pipes",129
"v",129
"admitted",128
"agent",128
"cage",128
"coccyx",128
"collapsed",128
"luggage",128
"rest",128
"wind",128
"auto",127
"biba",127
"cp",127
"drawer",127
"outstretched",127
"rubber",127
"sledge",127
"rail",126
"basketball",125
"big",125
"dry",125
"fingernail",125
"jerked",125
"rope",125
"tow",125
"wounds",125
"evening",124
"mat",124
"skid",124
"special",124
"boss",123
"clinic",123
"fbs",123
"helmet",123
"linen",123
"tooth",123
"uneven",123
"100",122
"milk",122
"non",122
"shooting",122
"shopping",122
"swung",122
"twist",122
"ball",121
"boned",121
"carpenter",121
"emptying",121
"hydraulic",121
"m",121
"package",121
"shingles",121
"lowbackpain",120
"lwbs",120
"often",120
"plates",120
"radial",120
"tables",120
"cooler",119
"found",119
"rod",119
"shattered",119
"snapped",119
"testicular",119
"latex",118
"lowback",118
"perpetrator",118
"sanitation",118
"camp",117
"chopping",117
"comes",117
"deformity",117
"loader",117
"md",117
"shirt",117
"wheezing",117
"details",116
"episode",116
"field",116
"gear",116
"battery",115
"boiling",115
"clavicle",115
"disc",115
"hour",115
"local",115
"ac",114
"didn",114
"drives",114
"panel",114
"paramedic",114
"paronychia",114
"airbags",113
"cap",113
"constant",113
"exac",113
"foosh",113
"backed",112
"criminal",112
"maintenance",112
"shower",112
"sit",112
"25",111
"breathing",111
"compression",111
"damage",111
"grab",111
"lots",111
"occupational",111
"patella",111
"stove",111
"turn",111
"upon",111
"class",110
"clothes",110
"mixer",110
"propane",110
"responding",110
"stone",110
"vegetables",110
"worsened",110
"biceps",109
"close",109
"deployed",109
"epicondylitis",109
"pocket",109
"prevent",109
"rd",109
"autistic",108
"brush",108
"cans",108
"glf",108
"instrument",108
"moderate",108
"mths",108
"phone",108
"underneath",108
"cafeteria",107
"lumbago",107
"ns",107
"subungual",107
"uv",107
"2x4",106
"bike",106
"crates",106
"med",106
"metatarsal",106
"spat",106
"tib",106
"tiles",106
"attendant",105
"bloody",105
"caring",105
"hood",105
"hosp",105
"jail",105
"sat",105
"splash",105
"stuff",105
"swinging",105
"barrel",104
"cheese",104
"hold",104
"next",104
"typing",104
"hat",103
"mph",103
"period",103
"repetative",103
"scratch",103
"60",102
"comp",102
"hill",102
"mask",102
"pants",102
"quickly",102
"sand",102
"airbag",101
"amputated",101
"deck",101
"fri",101
"gsw",101
"increasing",101
"rn",101
"trucks",101
"cases",100
"central",100
"complex",100
"drain",100
"hypodermic",100
"level",100
"lumber",100
"pains",100
"snap",100
"strap",100
"unsure",100
"butted",99
"continued",99
"difficulty",99
"dolly",99
"frozen",99
"insulation",99
"dresser",98
"ext",98
"filled",98
"inhaling",98
"needs",98
"assailant",97
"coughing",97
"daycare",97
"dish",97
"fast",97
"service",97
"thorax",97
"5cm",96
"achilles",96
"complains",96
"couch",96
"granite",96
"movements",96
"myofascial",96
"people",96
"screwdriver",96
"thickness",96
"wrists",96
"avoid",95
"clothing",95
"crack",95
"doors",95
"events",95
"fighter",95
"given",95
"limb",95
"pump",95
"teaching",95
"burnt",94
"ditch",94
"exacerbated",94
"flat",94
"hep",94
"nh",94
"ona",94
"push",94
"rust",94
"skull",94
"sp",94
"sweeping",94
"tenderness",94
"tuft",94
"wires",94
"1cm",93
"2cm",93
"activity",93
"anterior",93
"boxcutter",93
"patellar",93
"recent",93
"required",93
"shortness",93
"tick",93
"16",92
"arrives",92
"bottles",92
"brake",92
"flooring",92
"mth",92
"sens",92
"soap",92
"solution",92
"vet",92
"50lb",91
"cerv",91
"painter",91
"sledgehammer",91
"sliding",91
"transmission",91
"200",90
"ama",90
"fireman",90
"fish",90
"known",90
"shovel",90
"digits",89
"intermittent",89
"pneumothorax",89
"set",89
"soda",89
"subdue",89
"aof",88
"apprehending",88
"displaced",88
"ff",88
"fixture",88
"football",88
"hd",88
"immediate",88
"materials",88
"pickup",88
"pile",88
"stomach",88
"tools",88
"volunteering",88
"chainsaw",87
"inciting",87
"ligament",87
"monday",87
"mop",87
"pavement",87
"st",87
"x4",87
"aches",86
"active",86
"footing",86
"heater",86
"mo",86
"muscular",86
"shelter",86
"sore",86
"three",86
"traffic",86
"u",86
"11",85
"30am",85
"bench",85
"dough",85
"drum",85
"edp",85
"medial",85
"park",85
"proximal",85
"rocks",85
"saliva",85
"soup",85
"tv",85
"wc",85
"base",84
"made",84
"present",84
"shifts",84
"bounced",83
"directly",83
"dollie",83
"excerbated",83
"fascitis",83
"gallon",83
"gravel",83
"mirror",83
"motions",83
"pair",83
"spraying",83
"spring",83
"stacking",83
"stage",83
"tailbone",83
"walks",83
"wear",83
"atv",82
"blurry",82
"bodily",82
"carries",82
"cold",82
"couple",82
"fists",82
"lettuce",82
"nails",82
"oxygen",82
"pinch",82
"slashed",82
"basket",81
"bricks",81
"burst",81
"employer",81
"moves",81
"neg",81
"packing",81
"paindx",81
"pelvis",81
"shaft",81
"take",81
"torch",81
"300",80
"bartender",80
"injuries",80
"re",80
"resulted",80
"symptoms",80
"violent",80
"adm",79
"broom",79
"height",79
"orbital",79
"rebar",79
"sof",79
"syncopal",79
"tendinitis",79
"academy",78
"apart",78
"assembly",78
"bakery",78
"blocks",78
"carrier",78
"dyspnea",78
"gym",78
"lll",78
"newspapers",78
"obese",78
"radiation",78
"steering",78
"aid",77
"device",77
"digging",77
"janitor",77
"operator",77
"packages",77
"plumber",77
"safe",77
"saturday",77
"sheets",77
"state",77
"supplies",77
"tailgate",77
"thursday",77
"baseball",76
"g",76
"potatoes",76
"specific",76
"transfer",76
"transferred",76
"tubing",76
"windows",76
"wine",76
"xray",76
"30pm",75
"basement",75
"cell",75
"contusionto",75
"department",75
"drop",75
"extinguisher",75
"family",75
"inner",75
"jamming",75
"knocking",75
"lacerating",75
"manhole",75
"popping",75
"splashing",75
"testicle",75
"tie",75
"tomatoes",75
"workplace",75
"aspect",74
"conj",74
"cup",74
"demolition",74
"dorsum",74
"drive",74
"drug",74
"elevated",74
"gotten",74
"lancet",74
"setting",74
"3d",73
"bend",73
"bridge",73
"butcher",73
"club",73
"confused",73
"dancing",73
"extended",73
"farmer",73
"icy",73
"mechanism",73
"numb",73
"process",73
"pulley",73
"says",73
"2wks",72
"attack",72
"blurred",72
"bp",72
"bulb",72
"called",72
"chlorine",72
"copper",72
"drove",72
"edema",72
"feel",72
"keg",72
"many",72
"mixing",72
"parked",72
"pepper",72
"posterior",72
"shlder",72
"short",72
"substance",72
"vacuum",72
"able",71
"attic",71
"ecchymosis",71
"fr",71
"jobs",71
"k",71
"let",71
"loss",71
"men",71
"monitor",71
"motorcycle",71
"pouring",71
"shoulders",71
"tenosynovitis",71
"well",71
"whileat",71
"14",70
"1wk",70
"3cm",70
"airplane",70
"bouncer",70
"disabled",70
"game",70
"grain",70
"leaned",70
"mashed",70
"shots",70
"shoudler",70
"sputum",70
"thought",70
"trimmer",70
"boards",69
"bowl",69
"bruise",69
"city",69
"corn",69
"crashed",69
"housekeeping",69
"mowing",69
"placed",69
"aggressive",68
"atr",68
"awkwardly",68
"buckets",68
"bump",68
"change",68
"collided",68
"file",68
"register",68
"repairing",68
"rung",68
"seizure",68
"stair",68
"stings",68
"tibial",68
"ammonia",67
"backache",67
"butt",67
"cows",67
"hamstring",67
"mental",67
"mos",67
"recycling",67
"robbed",67
"sev",67
"tennis",67
"ankles",66
"asphalt",66
"checking",66
"course",66
"crowbar",66
"folding",66
"four",66
"lacertion",66
"mattress",66
"pointer",66
"preg",66
"radiator",66
"railroad",66
"scapula",66
"scraping",66
"telephone",66
"third",66
"valve",66
"10ft",65
"6ft",65
"baby",65
"boiler",65
"bumper",65
"butterfly",65
"cash",65
"clamp",65
"equip",65
"exercise",65
"fasciitis",65
"glue",65
"individual",65
"lips",65
"scuffle",65
"accidentaly",64
"aggravated",64
"collision",64
"diff",64
"elbowed",64
"environment",64
"extension",64
"hives",64
"ingestion",64
"lwot",64
"pd",64
"pin",64
"puddle",64
"ruptured",64
"sacral",64
"spilling",64
"track",64
"twice",64
"almost",63
"chairs",63
"chisel",63
"compressor",63
"exhaust",63
"experienced",63
"ladders",63
"locker",63
"rec",63
"space",63
"stress",63
"swimming",63
"apt",62
"concussive",62
"grate",62
"hedge",62
"mover",62
"shoplifter",62
"tight",62
"tin",62
"vent",62
"cpr",61
"dogs",61
"fix",61
"grabbing",61
"lawnmower",61
"marble",61
"might",61
"pedestrian",61
"planter",61
"single",61
"squatting",61
"welders",61
"auger",60
"bear",60
"bends",60
"bleed",60
"blower",60
"detergent",60
"dialysis",60
"htn",60
"mud",60
"oak",60
"rll",60
"sanding",60
"teeth",60
"thighs",60
"together",60
"tongue",60
"ulnar",60
"upstairs",60
"500",59
"abcess",59
"ant",59
"blisters",59
"brakes",59
"code",59
"costochondritis",59
"cuts",59
"drink",59
"fly",59
"gloved",59
"icu",59
"locked",59
"lowerback",59
"make",59
"nailbed",59
"partner",59
"see",59
"server",59
"splattered",59
"straight",59
"treated",59
"tub",59
"attended",58
"cath",58
"ceramic",58
"cream",58
"erythema",58
"feeding",58
"gets",58
"inch",58
"keep",58
"mentally",58
"recall",58
"robbery",58
"scabies",58
"sharpening",58
"shelving",58
"tackled",58
"university",58
"beginning",57
"electrician",57
"event",57
"pig",57
"problem",57
"repeatedly",57
"resulting",57
"snake",57
"stubbed",57
"sure",57
"toolbox",57
"utd",57
"wed",57
"yrs",57
"24",56
"abra",56
"along",56
"attributes",56
"belted",56
"done",56
"double",56
"electrocution",56
"fruit",56
"hcv",56
"hitch",56
"onions",56
"pit",56
"pothole",56
"powder",56
"retail",56
"sd",56
"shield",56
"shoved",56
"sits",56
"wrk",56
"45",55
"80",55
"backhoe",55
"cohb",55
"crawling",55
"eloped",55
"employment",55
"fuel",55
"houses",55
"leak",55
"patrol",55
"router",55
"slab",55
"stiffness",55
"synd",55
"tomato",55
"windshield",55
"always",54
"early",54
"entered",54
"flushed",54
"fwd",54
"incident",54
"inverting",54
"lh",54
"looking",54
"pans",54
"prison",54
"pry",54
"sm",54
"source",54
"spun",54
"subconjunctival",54
"tar",54
"weights",54
"wheels",54
"church",53
"customers",53
"hha",53
"l1",53
"much",53
"nk",53
"onthe",53
"paresthesia",53
"sander",53
"slamming",53
"story",53
"strike",53
"angry",52
"bat",52
"buffer",52
"cardiac",52
"cause",52
"chip",52
"ctrl",52
"detasseling",52
"display",52
"elbows",52
"empty",52
"explosion",52
"filling",52
"goes",52
"inmates",52
"juice",52
"lunch",52
"plane",52
"powered",52
"pursuit",52
"rim",52
"rubbed",52
"scraper",52
"sliver",52
"soreness",52
"spraining",52
"subdural",52
"torticollis",52
"woman",52
"13",51
"2da",51
"assist",51
"books",51
"compactor",51
"detailing",51
"excavator",51
"extreme",51
"fellon",51
"gasoline",51
"injurying",51
"lightheadedness",51
"lle",51
"machines",51
"pack",51
"pen",51
"rig",51
"serving",51
"spinal",51
"wheelbarrow",51
"bumping",50
"clearing",50
"dairy",50
"drainage",50
"ears",50
"entire",50
"lock",50
"nondisplaced",50
"overheated",50
"pad",50
"punct",50
"scrap",50
"smashing",50
"staff",50
"weighing",50
"workers",50
"11am",49
"awoke",49
"biten",49
"blades",49
"blister",49
"branches",49
"buckled",49
"cleans",49
"concerned",49
"covered",49
"dancer",49
"dryer",49
"filing",49
"form",49
"give",49
"handtruck",49
"obtained",49
"papers",49
"pvc",49
"rle",49
"slide",49
"slippery",49
"stainless",49
"sunday",49
"towel",49
"yr",49
"assistant",48
"catheter",48
"check",48
"combine",48
"conjunctival",48
"dark",48
"degreaser",48
"draw",48
"elderly",48
"inserting",48
"laborer",48
"manager",48
"medication",48
"physician",48
"pots",48
"pricked",48
"rain",48
"reach",48
"restr",48
"sawdust",48
"sewing",48
"shaving",48
"siding",48
"spill",48
"stab",48
"stray",48
"strenuous",48
"system",48
"throbbing",48
"wrok",48
"3pm",47
"70",47
"alcohol",47
"anoxia",47
"backing",47
"btw",47
"business",47
"cinder",47
"feed",47
"following",47
"fridge",47
"hairdresser",47
"inversion",47
"knuckle",47
"mon",47
"outlet",47
"pct",47
"received",47
"straining",47
"tea",47
"transfering",47
"usual",47
"ve",47
"waste",47
"0",46
"26yowm",46
"400",46
"55",46
"attached",46
"bucked",46
"comminuted",46
"conditioning",46
"coughed",46
"drank",46
"forcefully",46
"hearing",46
"hog",46
"hyperextending",46
"ledge",46
"loaded",46
"maker",46
"mc",46
"missing",46
"mold",46
"passing",46
"plants",46
"positive",46
"printing",46
"professional",46
"reinjured",46
"report",46
"scissor",46
"scratches",46
"shard",46
"slapped",46
"stock",46
"stumbled",46
"subduing",46
"sugar",46
"thurs",46
"tightening",46
"umbilical",46
"23yowm",45
"8ft",45
"andfell",45
"bacon",45
"beef",45
"continues",45
"diesel",45
"diseases",45
