"word","n","stem"
"hole",520,"hole"
"container",519,"contain"
"line",519,"line"
"fence",515,"fenc"
"washing",513,"wash"
"wooden",511,"wooden"
"heard",510,"heard"
"grabbed",508,"grab"
"legs",508,"leg"
"thinks",508,"think"
"furniture",507,"furnitur"
"pick",507,"pick"
"mouth",506,"mouth"
"sob",506,"sob"
"chronic",505,"chronic"
"running",502,"run"
"slammed",501,"slam"
"great",500,"great"
"tunnel",499,"tunnel"
"burning",498,"burn"
"complaining",498,"complain"
"msk",493,"msk"
"opening",493,"open"
"scaffolding",493,"scaffold"
"sustaining",493,"sustain"
"sitting",492,"sit"
"sided",491,"side"
"horse",490,"hors"
"vehicle",486,"vehicl"
"smoke",483,"smoke"
"cabinet",482,"cabinet"
"bucket",480,"bucket"
"spine",480,"spine"
"8",477,"8"
"removal",477,"remov"
"electric",476,"electr"
"plastic",474,"plastic"
"small",474,"small"
"motion",472,"motion"
"holding",471,"hold"
"edge",469,"edg"
"syndrome",469,"syndrom"
"lb",468,"lb"
"unloading",466,"unload"
"allergic",464,"allerg"
"parking",464,"park"
"store",464,"store"
"dizziness",462,"dizzi"
"carpal",460,"carpal"
"gate",460,"gate"
"wheelchair",459,"wheelchair"
"post",457,"post"
"rear",457,"rear"
"vs",457,"vs"
"severe",456,"sever"
"str",455,"str"
"delivering",454,"deliv"
"dehydration",453,"dehydr"
"belt",450,"belt"
"hose",450,"hose"
"lumbosacral",450,"lumbosacr"
"sensation",449,"sensat"
"px",448,"px"
"semi",448,"semi"
"turned",448,"turn"
"chain",447,"chain"
"numbness",447,"numb"
"child",446,"child"
"beam",445,"beam"
"cat",444,"cat"
"part",444,"part"
"white",443,"white"
"electrical",441,"electr"
"conjunctivitis",438,"conjunct"
"palm",436,"palm"
"grease",435,"greas"
"restraining",435,"restrain"
"cement",432,"cement"
"fing",431,"fing"
"involved",431,"involv"
"hard",430,"hard"
"perp",430,"perp"
"crushing",429,"crush"
"spit",429,"spit"
"ab",428,"ab"
"abras",428,"abra"
"desk",426,"desk"
"hours",426,"hour"
"put",425,"put"
"changing",422,"chang"
"denies",422,"deni"
"bags",419,"bag"
"high",418,"high"
"kitchen",417,"kitchen"
"shock",417,"shock"
"machinery",415,"machineri"
"two",414,"two"
"cow",413,"cow"
"pts",412,"pts"
"several",411,"sever"
"fd",410,"fd"
"restaurant",409,"restaur"
"chasing",408,"chase"
"training",408,"train"
"front",406,"front"
"walked",406,"walk"
"dust",405,"dust"
"items",405,"item"
"iv",405,"iv"
"trunk",405,"trunk"
"dizzy",404,"dizzi"
"fighting",404,"fight"
"inmate",403,"inmat"
"chemicals",401,"chemic"
"radiculopathy",401,"radiculopathi"
"reaction",399,"reaction"
"warehouse",399,"warehous"
"restrain",398,"restrain"
"assisting",396,"assist"
"dishes",395,"dish"
"glasses",395,"glass"
"glove",395,"glove"
"light",395,"light"
"nurse",395,"nurs"
"ceiling",394,"ceil"
"nursing",394,"nurs"
"nasal",391,"nasal"
"reaching",391,"reach"
"security",391,"secur"
"slipping",390,"slip"
"gas",387,"gas"
"tool",387,"tool"
"bee",385,"bee"
"room",385,"room"
"tray",385,"tray"
"irritation",384,"irrit"
"clients",382,"client"
"just",381,"just"
"poked",378,"poke"
"yest",378,"yest"
"mail",377,"mail"
"noticed",377,"notic"
"fumes",374,"fume"
"patients",374,"patient"
"climbing",373,"climb"
"tile",372,"tile"
"flank",371,"flank"
"board",369,"board"
"making",368,"make"
"forward",367,"forward"
"wheel",365,"wheel"
"bottle",364,"bottl"
"12",363,"12"
"info",362,"info"
"bleeding",360,"bleed"
"partial",360,"partial"
"past",359,"past"
"trip",359,"trip"
"tdy",358,"tdi"
"radius",357,"radius"
"shin",357,"shin"
"hisp",356,"hisp"
"rack",355,"rack"
"ems",353,"em"
"noted",353,"note"
"unknown",353,"unknown"
"contaminated",352,"contamin"
"arrest",351,"arrest"
"bilateral",350,"bilater"
"break",350,"break"
"ambulance",349,"ambul"
"tendon",349,"tendon"
"pinned",347,"pin"
"stood",347,"stood"
"care",344,"care"
"catch",344,"catch"
"increased",344,"increas"
"pinky",344,"pinki"
"admits",343,"admit"
"coworker",343,"cowork"
"hernia",343,"hernia"
"rock",343,"rock"
"industrial",340,"industri"
"move",340,"move"
"otj",340,"otj"
"syncope",340,"syncop"
"bumped",339,"bump"
"spr",339,"spr"
"passenger",338,"passeng"
"eval",337,"eval"
"jammed",333,"jam"
"fxs",332,"fxs"
"mechanic",328,"mechan"
"knocked",327,"knock"
"stands",327,"stand"
"tank",327,"tank"
"red",326,"red"
"cleaner",325,"cleaner"
"cord",324,"cord"
"guard",324,"guard"
"thrown",324,"thrown"
"van",324,"van"
"shop",323,"shop"
"building",322,"build"
"balance",321,"balanc"
"old",321,"old"
"passed",320,"pass"
"throwing",319,"throw"
"pressure",318,"pressur"
"things",318,"thing"
"computer",316,"comput"
"gave",316,"gave"
"paper",316,"paper"
"turning",316,"turn"
"wrench",316,"wrench"
"contu",314,"contu"
"shoe",312,"shoe"
"tonight",312,"tonight"
"breaking",311,"break"
"7",310,"7"
"fa",310,"fa"
"installing",310,"instal"
"safety",310,"safeti"
"poss",309,"poss"
"swollen",308,"swollen"
"freq",307,"freq"
"slicing",307,"slice"
"stop",307,"stop"
"arresting",306,"arrest"
"bld",306,"bld"
"unk",306,"unk"
"giving",305,"give"
"hiv",305,"hiv"
"possible",305,"possibl"
"cm",303,"cm"
"factory",303,"factori"
"may",302,"may"
"combative",301,"combat"
"removing",301,"remov"
"carpet",300,"carpet"
"j",299,"j"
"sprayed",299,"spray"
"approx",297,"approx"
"riding",297,"ride"
"15",296,"15"
"ended",296,"end"
"radiating",296,"radiat"
"utility",296,"util"
"chin",295,"chin"
"fluids",293,"fluid"
"rolling",293,"roll"
"bursitis",292,"bursiti"
"earlier",292,"earlier"
"cooking",291,"cook"
"asthma",290,"asthma"
"dislocated",290,"disloc"
"office",290,"offic"
"pallets",290,"pallet"
"presented",290,"present"
"x2",290,"x2"
"times",289,"time"
"20",288,"20"
"abr",288,"abr"
"picked",288,"pick"
"plate",288,"plate"
"agitated",285,"agit"
"clean",285,"clean"
"tingling",285,"tingl"
"way",284,"way"
"end",283,"end"
"inhaled",283,"inhal"
"bone",281,"bone"
"grill",281,"grill"
"hurting",280,"hurt"
"30",279,"30"
"missed",278,"miss"
"seen",278,"seen"
"customer",277,"custom"
"punctured",277,"punctur"
"blunt",275,"blunt"
"workdx",275,"workdx"
"wrong",274,"wrong"
"go",272,"go"
"blow",270,"blow"
"hair",270,"hair"
"coming",269,"come"
"musculoskeletal",269,"musculoskelet"
"away",268,"away"
"boots",268,"boot"
"buttock",267,"buttock"
"delivery",265,"deliveri"
"elevator",265,"elev"
"phalanx",265,"phalanx"
"splinter",265,"splinter"
"pc",264,"pc"
"run",264,"run"
"abrs",263,"abr"
"eyebrow",262,"eyebrow"
"tear",262,"tear"
"n",261,"n"
"multi",260,"multi"
"dock",259,"dock"
"ha",259,"ha"
"operating",259,"oper"
"trays",259,"tray"
"chicken",257,"chicken"
"threw",257,"threw"
"counter",256,"counter"
"fingertip",256,"fingertip"
"recently",256,"recent"
"scene",256,"scene"
"bleach",254,"bleach"
"jaw",254,"jaw"
"minor",254,"minor"
"sting",254,"sting"
"caused",253,"caus"
"dental",252,"dental"
"dumpster",252,"dumpster"
"infected",252,"infect"
"starting",252,"start"
"vomiting",252,"vomit"
"coffee",251,"coffe"
"corner",250,"corner"
"exp",250,"exp"
"psych",250,"psych"
"ramp",250,"ramp"
"syringe",250,"syring"
"throat",249,"throat"
"dept",248,"dept"
"mild",248,"mild"
"blew",247,"blew"
"shoes",247,"shoe"
"50",246,"50"
"health",243,"health"
"heel",243,"heel"
"chem",242,"chem"
"insulin",242,"insulin"
"per",242,"per"
"related",242,"relat"
"conveyor",241,"conveyor"
"months",241,"month"
"accidental",240,"accident"
"bk",240,"bk"
"moved",240,"move"
"accidently",239,"accid"
"attacked",238,"attack"
"branch",238,"branch"
"debris",238,"debri"
"cramps",237,"cramp"
"rts",237,"rts"
"slid",237,"slid"
"stocking",237,"stock"
"accident",236,"accid"
"direct",236,"direct"
"near",236,"near"
"block",235,"block"
"closing",235,"close"
"drawing",235,"draw"
"stand",235,"stand"
"handling",234,"handl"
"suddenly",234,"sudden"
"like",233,"like"
"uses",232,"use"
"painting",231,"paint"
"place",231,"place"
"mechanical",230,"mechan"
"superficial",230,"superfici"
"bites",229,"bite"
"carbon",229,"carbon"
"lab",229,"lab"
"stool",229,"stool"
"weight",229,"weight"
"handle",227,"handl"
"inguinal",227,"inguin"
"stung",227,"stung"
"yet",227,"yet"
"frame",226,"frame"
"refrigerator",226,"refriger"
"mopping",225,"mop"
"oven",225,"oven"
"snow",225,"snow"
"bathroom",224,"bathroom"
"removed",224,"remov"
"animal",223,"anim"
"feeling",223,"feel"
"hr",223,"hr"
"press",223,"press"
"pan",221,"pan"
"popped",221,"pop"
"year",221,"year"
"abscess",220,"abscess"
"landscaping",220,"landscap"
"pot",220,"pot"
"exploded",219,"explod"
"ls",219,"ls"
"acid",217,"acid"
"full",217,"full"
"laundry",216,"laundri"
"behind",215,"behind"
"mv",214,"mv"
"man",213,"man"
"paint",213,"paint"
"shelves",213,"shelv"
"constantly",212,"constant"
"curb",212,"curb"
"lacerations",212,"lacer"
"tires",212,"tire"
"trees",212,"tree"
"boot",211,"boot"
"carts",211,"cart"
"freezer",211,"freezer"
"movement",210,"movement"
"street",210,"street"
"train",210,"train"
"jumping",208,"jump"
"mech",208,"mech"
"across",206,"across"
"crate",206,"crate"
"frequently",206,"frequent"
"playing",206,"play"
"cuff",205,"cuff"
"engine",205,"engin"
"landscaper",205,"landscap"
"min",205,"min"
"mult",205,"mult"
"9",204,"9"
"pieces",204,"piec"
"sink",204,"sink"
"urine",204,"urin"
"deli",203,"deli"
"fan",203,"fan"
"muscles",203,"muscl"
"speed",203,"speed"
"cheek",202,"cheek"
"little",202,"littl"
"scissors",201,"scissor"
"control",200,"control"
"lg",200,"lg"
"periods",200,"period"
"pizza",200,"pizza"
"toxic",200,"toxic"
"flight",199,"flight"
"likely",199,"like"
"medical",199,"medic"
"seat",199,"seat"
"shoveling",199,"shovel"
"tripping",199,"trip"
"deep",198,"deep"
"month",198,"month"
"traumatic",198,"traumat"
"suffered",197,"suffer"
"occured",196,"occur"
"rotator",196,"rotat"
"bread",195,"bread"
"employed",195,"employ"
"lid",195,"lid"
"roofing",195,"roof"
"company",194,"compani"
"hanging",194,"hang"
"took",194,"took"
"tube",194,"tube"
"barn",193,"barn"
"accid",192,"accid"
"goggles",192,"goggl"
"humerus",192,"humerus"
"lacs",192,"lac"
"welder",192,"welder"
"opened",191,"open"
"vision",191,"vision"
"cable",190,"cabl"
"kneeling",190,"kneel"
"suture",190,"sutur"
"containers",189,"contain"
"dump",189,"dump"
"spray",189,"spray"
"wheeler",189,"wheeler"
"cattle",188,"cattl"
"eyelid",188,"eyelid"
"fork",188,"fork"
"lbs",188,"lbs"
"monoxide",188,"monoxid"
"obj",188,"obj"
"placing",188,"place"
"stabbed",188,"stab"
"exacerbation",187,"exacerb"
"fractures",187,"fractur"
"labor",187,"labor"
"lightheaded",187,"lighthead"
"trimming",187,"trim"
"18",186,"18"
"beer",186,"beer"
"e",186,"e"
"fist",186,"fist"
"housekeeper",186,"housekeep"
"woke",186,"woke"
"admit",185,"admit"
"itching",185,"itch"
"parts",185,"part"
"plant",185,"plant"
"poison",185,"poison"
"roll",185,"roll"
"rusty",185,"rusti"
"x1",185,"x1"
"feels",184,"feel"
"cab",183,"cab"
"cardboard",183,"cardboard"
"cramping",183,"cramp"
"dishwasher",183,"dishwash"
"position",183,"posit"
"protective",183,"protect"
"unit",183,"unit"
"circular",182,"circular"
"iron",182,"iron"
"radiates",182,"radiat"
"sliced",182,"slice"
"bolt",181,"bolt"
"dropping",181,"drop"
"effusion",181,"effus"
"poisoning",181,"poison"
"sth",181,"sth"
"emt",180,"emt"
"peice",180,"peic"
"banged",179,"bang"
"center",179,"center"
"lawn",179,"lawn"
"toilet",179,"toilet"
"unable",179,"unabl"
"cna",178,"cna"
"stated",178,"state"
"touched",178,"touch"
"type",178,"type"
"children",177,"children"
"ing",177,"ing"
"prisoner",177,"prison"
"daily",176,"daili"
"joint",176,"joint"
"mower",176,"mower"
"shut",176,"shut"
"tr",176,"tr"
"weakness",176,"weak"
"conditioner",175,"condition"
"drywall",175,"drywal"
"garage",175,"garag"
"transferring",175,"transfer"
"happened",174,"happen"
"physical",174,"physic"
"pool",174,"pool"
"shift",174,"shift"
"case",173,"case"
"procedure",173,"procedur"
"drilling",172,"drill"
"fibula",172,"fibula"
"hay",171,"hay"
"platform",170,"platform"
"contus",169,"contus"
"cough",169,"cough"
"internal",169,"intern"
"reached",169,"reach"
"sun",169,"sun"
"trapezius",169,"trapezius"
"worked",169,"work"
"cook",168,"cook"
"persistent",168,"persist"
"scraped",168,"scrape"
"disease",167,"diseas"
"pregnant",167,"pregnant"
"unrestrained",167,"unrestrain"
"railing",166,"rail"
"communicable",165,"communic"
"cwp",165,"cwp"
"infection",165,"infect"
"performing",165,"perform"
"tibia",165,"tibia"
"transporting",165,"transport"
"spasms",164,"spasm"
"stopped",164,"stop"
"staple",163,"stapl"
"surface",163,"surfac"
"tx",163,"tx"
"laying",162,"lay"
"location",162,"locat"
"bug",161,"bug"
"discomfort",161,"discomfort"
"flash",161,"flash"
"fryer",161,"fryer"
"injection",161,"inject"
"item",161,"item"
"liquid",161,"liquid"
"pound",161,"pound"
"requires",161,"requir"
"sticking",161,"stick"
"tearing",161,"tear"
"leaving",160,"leav"
"tissue",160,"tissu"
"bin",159,"bin"
"breast",159,"breast"
"first",159,"first"
"region",159,"region"
"walk",159,"walk"
"40",158,"40"
"use",158,"use"
"scald",157,"scald"
"group",156,"group"
"kids",156,"kid"
"living",156,"live"
"shocked",156,"shock"
"witih",156,"witih"
"floors",155,"floor"
"ind",155,"ind"
"overhead",155,"overhead"
"spider",155,"spider"
"aluminum",154,"aluminum"
"cars",154,"car"
"nerve",154,"nerv"
"steam",154,"steam"
"surgery",154,"surgeri"
"x3",154,"x3"
"call",153,"call"
"friday",153,"friday"
"sb",153,"sb"
"sent",153,"sent"
"taxi",153,"taxi"
"chef",152,"chef"
"without",152,"without"
"boat",151,"boat"
"brick",151,"brick"
"etoh",151,"etoh"
"eyeball",151,"eyebal"
"material",151,"materi"
"road",151,"road"
"femur",150,"femur"
"flipped",150,"flip"
"keratitis",150,"kerat"
"occurred",150,"occur"
"pelvic",150,"pelvic"
"po",150,"po"
"thermal",150,"thermal"
"waitress",150,"waitress"
"airport",149,"airport"
"bldg",149,"bldg"
"extremity",149,"extrem"
"itchy",149,"itchi"
"lateral",149,"later"
"motor",149,"motor"
"pinched",149,"pinch"
"possibly",149,"possibl"
"roofer",149,"roofer"
"attempted",148,"attempt"
"derangement",148,"derang"
"log",148,"log"
"loose",148,"loos"
"retained",148,"retain"
"facility",147,"facil"
"inverted",147,"invert"
"load",147,"load"
"pm",147,"pm"
"rearended",147,"rearend"
"toes",147,"toe"
"backward",146,"backward"
"bil",146,"bil"
"deg",146,"deg"
"screw",146,"screw"
"yard",146,"yard"
"backpain",145,"backpain"
"cornea",145,"cornea"
"dirt",145,"dirt"
"wash",145,"wash"
"washer",145,"washer"
"bull",144,"bull"
"golf",144,"golf"
"later",144,"later"
"prolonged",144,"prolong"
"teacher",144,"teacher"
"impact",143,"impact"
"sidewalk",143,"sidewalk"
"tightness",143,"tight"
"catching",142,"catch"
"fixing",142,"fix"
"leaning",142,"lean"
"bicep",141,"bicep"
"breath",141,"breath"
"crane",141,"crane"
"help",141,"help"
"hotel",141,"hotel"
"plantar",141,"plantar"
"still",141,"still"
"weak",141,"weak"
"inv",140,"inv"
"second",140,"second"
"soft",140,"soft"
"station",140,"station"
"students",140,"student"
"band",139,"band"
"believes",139,"believ"
"bottom",139,"bottom"
"hi",139,"hi"
"inside",139,"insid"
"ivy",139,"ivi"
"aide",138,"aid"
"rupture",138,"ruptur"
"scalpel",138,"scalpel"
"sign",138,"sign"
"sutures",138,"sutur"
"wears",138,"wear"
"afternoon",137,"afternoon"
"cashier",137,"cashier"
"cover",137,"cover"
"grocery",137,"groceri"
"protection",137,"protect"
"repair",137,"repair"
"roller",137,"roller"
"surgical",137,"surgic"
"overuse",136,"overus"
"rxn",136,"rxn"
"bruising",135,"bruis"
"fib",135,"fib"
"hurts",135,"hurt"
"rad",135,"rad"
"black",134,"black"
"tech",134,"tech"
"tipped",134,"tip"
"wrestling",134,"wrestl"
"hemorrhage",133,"hemorrhag"
"hook",133,"hook"
"plywood",133,"plywood"
"remove",133,"remov"
"rollover",133,"rollov"
"scaffold",133,"scaffold"
"suturing",133,"sutur"
"bwd",132,"bwd"
"frequent",132,"frequent"
"grass",132,"grass"
"metacarpal",132,"metacarp"
"ulna",132,"ulna"
"2d",131,"2d"
"manual",131,"manual"
"rug",131,"rug"
"sheetrock",131,"sheetrock"
"forearms",130,"forearm"
"hammering",130,"hammer"
"pass",130,"pass"
"stack",130,"stack"
"volunteer",130,"volunt"
"drinking",129,"drink"
"hyperextended",129,"hyperextend"
"pipes",129,"pipe"
"v",129,"v"
"admitted",128,"admit"
"agent",128,"agent"
"cage",128,"cage"
"coccyx",128,"coccyx"
"collapsed",128,"collaps"
"luggage",128,"luggag"
"rest",128,"rest"
"wind",128,"wind"
"auto",127,"auto"
"biba",127,"biba"
"cp",127,"cp"
"drawer",127,"drawer"
"outstretched",127,"outstretch"
"rubber",127,"rubber"
"sledge",127,"sledg"
"rail",126,"rail"
"basketball",125,"basketbal"
"big",125,"big"
"dry",125,"dri"
"fingernail",125,"fingernail"
"jerked",125,"jerk"
"rope",125,"rope"
"tow",125,"tow"
"wounds",125,"wound"
"evening",124,"even"
"mat",124,"mat"
"skid",124,"skid"
"special",124,"special"
"boss",123,"boss"
"clinic",123,"clinic"
"fbs",123,"fbs"
"helmet",123,"helmet"
"linen",123,"linen"
"tooth",123,"tooth"
